,epoch,Model,accuracy,precision,cross_entropy_loss,mae_loss,mse_loss,recall,auc
0,5,convnext-tiny,0.3829225352112676,0.2754636999930566,1.2555136697159874,1.8300014783938727,5.261848042408626,0.3829225352112676,0.49501719772908315
1,5,densenet121,0.48679577464788737,0.46056980586520946,1.1526680770847533,1.8082088811530006,5.157175398535198,0.48679577464788737,0.6675402055976444
2,5,efficientnet-b0,0.3860035211267605,0.2744587873286475,1.2431637942790985,1.8766733722554312,5.502634896172418,0.3860035211267605,0.5069624084444289
3,5,ghostnetv2,0.38776408450704225,0.284060989239862,1.2464226616753473,1.8355605320798025,5.296956731213464,0.38776408450704225,0.510415066880975
4,5,mnasnet0_5,0.4014084507042254,0.2881290352592578,1.2347840600543551,1.804276923338572,5.1365392241213055,0.4014084507042254,0.5248423082775158
5,5,mobilenetv2,0.3983274647887324,0.24540660588582275,1.2380256901184719,1.8003655191924837,5.118925058179432,0.3983274647887324,0.5234786144287527
6,5,regnety-400mf,0.43617957746478875,0.4192851541532074,1.2216274787982304,1.8255897644493315,5.249897542927,0.43617957746478875,0.5682752517720242
7,5,resnet18,0.4485035211267605,0.3719166035929673,1.1950349625613954,1.82197747959031,5.212060415082508,0.4485035211267605,0.603265184986
8,5,shufflenetv2-0.5x,0.3974471830985915,0.2429650368641877,1.2389138887325923,1.8049450748496585,5.133479184574551,0.3974471830985915,0.5126937022641066
9,5,tinynet-a,0.4220950704225352,0.30020624710304983,1.226632308628824,1.8408377998405032,5.30684424440066,0.4220950704225352,0.55639321687552
10,5,vgg16,0.38600352112676056,0.24139181747399355,1.2471322798066669,2.0834193329016366,6.749269263611899,0.38600352112676056,0.4795471073028959
11,5,vit-tiny,0.39524647887323944,0.2730367388020043,1.245292647017373,1.830160720480813,5.26787797609965,0.39524647887323944,0.5017024077094274
12,10,convnext-tiny,0.383362676056338,0.28712370997807024,1.264007180929184,1.821476853556103,5.241177707910538,0.383362676056338,0.4815391775410071
13,10,densenet121,0.5699823943661972,0.5173106072094391,1.0140039796630542,1.8095047920942307,5.15736538834042,0.5699823943661972,0.7574950402004491
14,10,efficientnet-b0,0.39744718309859156,0.2860279834979757,1.2366245488325756,1.8268102357784908,5.236108319626914,0.39744718309859156,0.5269908370229524
15,10,ghostnetv2,0.39964788732394363,0.2822302224839085,1.2382597509357665,1.8456929359171124,5.364026420646244,0.39964788732394363,0.5232017614967834
16,10,mnasnet0_5,0.4357394366197183,0.31424812253676637,1.2218341943290498,1.8089598053031497,5.162068499459161,0.4357394366197183,0.5628710449061529
17,10,mobilenetv2,0.4242957746478873,0.3045194518232601,1.215685781505373,1.8031662735674117,5.13143002986908,0.4242957746478873,0.5702993660927481
18,10,regnety-400mf,0.4647887323943662,0.3910573225737169,1.1610321419106588,1.8214631660117042,5.220352199342516,0.4647887323943662,0.6347436807657127
19,10,resnet18,0.5110035211267605,0.4315348045776455,1.1009938228461478,1.8170277376969655,5.196222292052375,0.5110035211267605,0.698702617629117
20,10,shufflenetv2-0.5x,0.40008802816901406,0.28143423949721635,1.2349590443902545,1.8075159556335874,5.1522373325294915,0.40008802816901406,0.5339909495825099
21,10,tinynet-a,0.426056338028169,0.30470868387439726,1.2221655630403094,1.8120754609505336,5.179922789335251,0.426056338028169,0.5674846396455971
22,10,vgg16,0.40096830985915494,0.2965037525863057,1.2410809563265905,1.9390832881132762,5.864437762233946,0.40096830985915494,0.4981953104377403
23,10,vit-tiny,0.383362676056338,0.25690655093306114,1.244077602194415,1.834433236055904,5.270898689826329,0.383362676056338,0.5054121576338415
24,15,convnext-tiny,0.3723591549295775,0.2589186664734957,1.2552721814976797,1.8206944664319358,5.219112995598051,0.3723591549295775,0.4880347288460352
25,15,densenet121,0.6047535211267605,0.5623387009697408,0.9186501047677464,1.8099401245514553,5.1679899957444935,0.6047535211267605,0.8052905711144982
26,15,efficientnet-b0,0.40492957746478875,0.28693170616123054,1.2333901507986917,1.821001476711697,5.221907085842557,0.40492957746478875,0.5349021865180145
27,15,ghostnetv2,0.4467429577464789,0.375408955988499,1.2070052640305624,1.8374442491266463,5.278459065490299,0.4467429577464789,0.5814484112107805
28,15,mnasnet0_5,0.4485035211267605,0.3249360380619215,1.202069385184182,1.8043620702293184,5.145451015896267,0.4485035211267605,0.5848487815703941
29,15,mobilenetv2,0.4705105633802817,0.4249106580851354,1.1661671259337,1.8090184314383402,5.158964395523071,0.4705105633802817,0.6279544792947064
30,15,regnety-400mf,0.4977992957746479,0.45577939440081394,1.1067838445305824,1.8305044555001788,5.269970519675149,0.4977992957746479,0.6870233944473252
31,15,resnet18,0.528169014084507,0.46601093381029135,1.0688384398818016,1.8232382022672229,5.234360009431839,0.528169014084507,0.7328437614783587
32,15,shufflenetv2-0.5x,0.3886443661971831,0.2705707032082546,1.23162099884616,1.8062087164984808,5.146112746662563,0.3886443661971831,0.5325328531660021
33,15,tinynet-a,0.4242957746478873,0.3069757076345543,1.2136457628673978,1.816000160243776,5.190703392028809,0.4242957746478873,0.5766472558999236
34,15,vgg16,0.3952464788732394,0.24935234084032482,1.2444037546714146,1.9175640526745055,5.729120079014036,0.3952464788732394,0.501334861218511
