epoch,fold,total_loss,cross_entropy_loss,accuracy,precision,recall,f1_score,auc,r2_score,mae_loss,mse_loss
1,1,29.215348773532444,1.3595092164145575,0.323943661971831,0.3054667978371705,0.323943661971831,0.24356171118681116,0.5319264458342571,-17.07179549845181,9.400853157043457,94.21230443318684
1,2,17.24059025446574,1.3107336825794644,0.3415492957746479,0.3264278403889131,0.3415492957746479,0.2068499595978193,0.5239952305690887,-9.991948556391305,6.983900149663289,54.410254372490776
1,3,8.227458927366468,1.2736994690365262,0.36795774647887325,0.25535835758812575,0.36795774647887325,0.28772592631728633,0.4974429729267189,-4.032565749987907,4.443638311492072,24.45289675394694
1,4,3.9570773310131497,1.2442337274551392,0.4154929577464789,0.25132042253521125,0.4154929577464789,0.2482732851541207,0.49191429373786133,-0.9497056627264007,2.6807912389437356,10.287045346366035
2,1,2.5803575913111367,1.236165444056193,0.4102112676056338,0.4963515661872469,0.4102112676056338,0.2407003031958963,0.498284866487499,-0.08413971765756911,1.9275309575928583,5.716805669996473
2,2,2.3621075418260364,1.2312267820040386,0.3908450704225352,0.24567296078023784,0.3908450704225352,0.2438374432642366,0.48766503355577384,-0.007350235464628874,1.7803309030003018,5.000829113854302
2,3,2.359066128730774,1.2477413217226665,0.3855633802816901,0.284802411281414,0.3855633802816901,0.2397232507874008,0.5075136533955577,-0.014855836262681388,1.7688532140519884,4.952157232496473
2,4,2.4863560928238764,1.2471879654460483,0.397887323943662,0.26688141952149574,0.397887323943662,0.302280645689299,0.49552910834728503,-0.008035793726205664,1.8462159832318623,5.377748211224874
3,1,2.434653970930311,1.232967687977685,0.40316901408450706,0.22057687166892223,0.40316901408450706,0.23798788476148652,0.5094742141598904,-0.004521490081888846,1.834968586762746,5.238588439093696
3,2,2.365778777334425,1.2336926990085177,0.40316901408450706,0.16254525391787344,0.40316901408450706,0.23168307208369412,0.5192127713544351,-0.0020736181131133513,1.7818275954988267,5.007312774658203
3,3,2.3478730254703097,1.2513040502866108,0.36619718309859156,0.25096170961473857,0.36619718309859156,0.28499991087662924,0.48764988113141694,-0.021720435512819547,1.755401286813948,4.906533757845561
3,4,2.4968535370296903,1.2456496689054701,0.3873239436619718,0.2528796404802441,0.3873239436619718,0.2796642029826284,0.49307558176165506,-0.007600424694841124,1.8480166726642184,5.416329132186042
4,1,2.4383285178078546,1.2311369048224554,0.41725352112676056,0.33367835216426767,0.41725352112676056,0.27195570936102337,0.5224057252838381,-0.005851467414986988,1.8385773102442424,5.255108714103699
4,2,2.3676899870236716,1.2348567909664578,0.3855633802816901,0.21421158692350176,0.3855633802816901,0.2367550212157478,0.48959200599113145,-0.009855327824451754,1.7803302738401625,5.010967135429382
4,3,2.3398622075716653,1.253523780239953,0.3485915492957746,0.23718634306869602,0.3485915492957746,0.26890920409846464,0.4835998816541524,-0.009052298235667555,1.7453944683074951,4.874651736683315
4,4,2.4775757922066584,1.2402893569734361,0.40316901408450706,0.26358186292476043,0.40316901408450706,0.2639673934619304,0.5238298843294819,-0.010288497861847379,1.840732475121816,5.36457720067766
5,1,2.43899847401513,1.233478519651625,0.4084507042253521,0.16683197778218609,0.4084507042253521,0.23690140845070423,0.5089869789515952,-0.012256564303056328,1.8360825843281217,5.251878182093303
5,2,2.3579781783951654,1.2274617221620348,0.40492957746478875,0.2918806518085787,0.40492957746478875,0.3205828894643396,0.547052107543459,0.002273788410529942,1.7753880752457514,4.99584956963857
5,3,2.338097254435221,1.2470906774202983,0.36795774647887325,0.2545199079089924,0.36795774647887325,0.2736435796912056,0.542286746147423,0.0102810491870724,1.7496117618348863,4.883778995937771
5,4,2.474108384715186,1.2440718412399292,0.4119718309859155,0.2683938860435339,0.4119718309859155,0.2765994660775108,0.4955886250725334,-0.011068612898701646,1.8403796553611755,5.344193485048082
6,1,2.4436276621288724,1.2301996615197923,0.40492957746478875,0.2818347838032209,0.40492957746478875,0.29201242313429643,0.535955089105791,-0.004808464705250204,1.839484645260705,5.274959431754218
6,2,2.3672405415111117,1.2319191031985812,0.4014084507042254,0.26794097920858484,0.4014084507042254,0.25198976541763307,0.5122123602906848,-0.006894681975534223,1.7783315910233393,5.016323685646057
6,3,2.3454138504134283,1.2504090269406636,0.3644366197183099,0.2338521117781533,0.3644366197183099,0.24462986115180835,0.47906606029625476,-0.01957186871430605,1.7574248313903809,4.900425089730157
6,4,2.4814882212215,1.2380322747760348,0.40492957746478875,0.2663378129870306,0.40492957746478875,0.2828491888421715,0.5335519463731042,-0.013648288322956281,1.8454383346769545,5.3828851911756725
7,1,2.445475220680237,1.2277356319957309,0.397887323943662,0.2772975883469833,0.397887323943662,0.28760799717114693,0.5463949790223822,-0.011020834494593679,1.8472168578041925,5.286867406633165
7,2,2.361795061164432,1.2318147089746263,0.40492957746478875,0.29671142854480165,0.40492957746478875,0.27220146537117446,0.5180918829204364,-0.00629114418715937,1.7754461963971455,4.998415854242113
7,3,2.348929352230496,1.2487251493665907,0.3714788732394366,0.2558525706669686,0.3714788732394366,0.2707475828686852,0.505526814025416,-0.009776307795928307,1.7533424761560228,4.916072183185154
7,4,2.4730683167775473,1.2419132391611736,0.4014084507042254,0.2779846125683766,0.4014084507042254,0.3159155527518753,0.509956597062323,-0.010494561087425858,1.8394150932629902,5.345763246218364
