epoch,fold,total_loss,cross_entropy_loss,accuracy,precision,recall,f1_score,auc,r2_score,mae_loss,mse_loss
1,1,1.9056077665752835,1.3700402180353801,0.2323943661971831,0.3242588474817757,0.2323943661971831,0.19199989331832817,0.5323656830953993,-17.617635827093743,9.577782471974691,97.17987484402127
1,2,1.3715180224842496,1.2732697195476956,0.3767605633802817,0.23431716737204836,0.3767605633802817,0.2409154652840908,0.4910930706353781,-11.672673457730312,7.550917016135322,62.55357106526693
1,3,0.9206034243106842,1.2723297874132793,0.3626760563380282,0.16148065931822822,0.3626760563380282,0.2055861835230825,0.4801603840305346,-5.969220680098885,5.351204355557759,33.698412365383575
1,4,0.658112926615609,1.2734434405962627,0.4154929577464789,0.17367165958715255,0.4154929577464789,0.244954803447551,0.4943525583929368,-2.1335180358487804,3.5546998845206366,16.613436222076416
2,1,0.5149056977695889,1.2602251172065735,0.4084507042253521,0.2767366737296938,0.4084507042253521,0.24023369232099992,0.49445484171913595,-0.4520251303477507,2.282651709185706,7.697576403617859
2,2,0.48229146665996975,1.2509273687998455,0.40492957746478875,0.2978705566733736,0.40492957746478875,0.25829072909443074,0.5175773626261538,-0.040346528378377045,1.8360843923356798,5.241398639149136
2,3,0.48381634222136605,1.260466131899092,0.375,0.2618662107714372,0.375,0.303469110681349,0.5124443179313948,-0.010722924157545943,1.7683049307929144,4.956402712398106
2,4,0.4876513448026445,1.263414442539215,0.4014084507042254,0.28181784267135,0.4014084507042254,0.32411113555321114,0.5354276886300899,-0.0029273618320830863,1.8478690253363714,5.39208906226688
3,1,0.47604964011245304,1.259243859185113,0.4137323943661972,0.29314171292194763,0.4137323943661972,0.30366280619667424,0.5355469692993018,-0.010317588167346292,1.8485924336645339,5.29273537794749
3,2,0.4773463424709108,1.2470697628127203,0.375,0.28198815584339076,0.375,0.31985538439785394,0.5344629235904473,-0.0006094971590282494,1.7846836116578844,5.0453190671073065
3,3,0.48077171709802413,1.2660562727186415,0.4014084507042254,0.2884632355536729,0.4014084507042254,0.3072406468300233,0.5587232588623565,-0.008832899278964357,1.7618399063746135,4.944077677196926
3,4,0.4822273949782054,1.2590364350212946,0.43485915492957744,0.31935790908349404,0.43485915492957744,0.3676970553479608,0.5385348143007661,-0.013716999226457194,1.8565203812387254,5.446966714329189
4,1,0.4615115953816308,1.2342154483000438,0.45422535211267606,0.33256484485142146,0.45422535211267606,0.3830460496197956,0.60161665027823,-0.0018468525640895628,1.8525551358858745,5.346173365910848
4,2,0.46868353254265255,1.2199859652254317,0.45598591549295775,0.34838531321463906,0.45598591549295775,0.38859546165884196,0.5937932836269226,-0.007632029639980553,1.8045166201061673,5.119691756036547
4,3,0.456442278292444,1.243922299808926,0.43133802816901406,0.30733957673473056,0.43133802816901406,0.3589247665463638,0.5975187156401696,0.00047681118117548493,1.7839885155359905,5.053392516242133
4,4,0.44975149465931785,1.2087959448496501,0.45598591549295775,0.3616309033409449,0.45598591549295775,0.3903618992840206,0.6170913559133229,-0.010234093116260778,1.880926291147868,5.582735670937432
5,1,0.44109958079126144,1.2173550095823076,0.4753521126760563,0.36189093277274537,0.4753521126760563,0.40632171473825907,0.6203578088196695,-0.027907825840253198,1.8594340350892808,5.380790829658508
5,2,0.4458013011349572,1.241438455051846,0.46830985915492956,0.36705505020865936,0.46830985915492956,0.3999279787876536,0.598827282562371,-0.023739698539740894,1.7893965244293213,5.0678212775124445
5,3,0.4258058120807012,1.1811924974123638,0.4876760563380282,0.37049419916937526,0.4876760563380282,0.40975003253996356,0.6492463918166297,-0.016327535619334865,1.7626098857985601,4.958989646699694
5,4,0.42990349729855853,1.201541821161906,0.4612676056338028,0.36958036645165065,0.4612676056338028,0.3978474493795788,0.6606334627449367,0.005237786661063115,1.8472246262762282,5.384685450130039
6,1,0.42380611929628587,1.224135975042979,0.49119718309859156,0.3881935271863847,0.49119718309859156,0.42283539292434774,0.6338819750460432,-0.013895795028454394,1.8472404811117384,5.29590466287401
6,2,0.4490947988298204,1.2705499827861786,0.4753521126760563,0.38101294832785054,0.4753521126760563,0.40718672515577475,0.6170958184889791,-0.004625476333872003,1.7810278667343988,5.014758268992106
6,3,0.4222223162651062,1.195770690838496,0.49119718309859156,0.3673116328534624,0.49119718309859156,0.41385947623089575,0.6487251258466801,-0.01431273817442591,1.7608227398660448,4.940831184387207
6,4,0.4258805513381958,1.2096504933304257,0.5017605633802817,0.40591341344154314,0.5017605633802817,0.43105519981108786,0.6624372940313238,-0.013465954431259197,1.8427441252602472,5.37831531630622
7,1,0.4208151549100876,1.210819747712877,0.49295774647887325,0.3839936655264794,0.49295774647887325,0.42361969337023625,0.6510509403875797,0.009226713617886961,1.852174162864685,5.324599411752489
7,2,0.4264865782525804,1.2139961984422472,0.5070422535211268,0.39494454961149006,0.5070422535211268,0.4327938668214028,0.6397770874419538,-0.0043792145412406835,1.7795493072933621,4.998300472895305
7,3,0.3993978665934669,1.1684135331047907,0.5211267605633803,0.3979456332009149,0.5211267605633803,0.43916782448397673,0.6886076482493573,-0.035108557096608095,1.7587233318222895,4.923050377104017
7,4,0.421866806017028,1.194787664545907,0.5035211267605634,0.3977645207636431,0.5035211267605634,0.4329122131197743,0.6864485291046762,0.011178099949602394,1.85136702325609,5.404996792475383
8,1,0.40434513489405316,1.1801136997010973,0.5176056338028169,0.595067109586956,0.5176056338028169,0.4480926536758612,0.67521537961708,-0.019484095730703643,1.8444879717297025,5.279603574011061
8,2,0.40873948567443424,1.1852976348665025,0.528169014084507,0.48089880049160644,0.528169014084507,0.4630422557442222,0.6508058125272436,-0.018583975744247416,1.7925098339716594,5.074473023414612
8,3,0.3952120393514633,1.1645805140336354,0.5316901408450704,0.39846254397131087,0.5316901408450704,0.4474747491429903,0.6770777616100013,-0.004679617235711309,1.7612985769907634,4.939270946714613
8,4,0.4131832818190257,1.1904396878348456,0.5070422535211268,0.42050627457100437,0.5070422535211268,0.4401500784435262,0.6951120663196971,-0.02366758642593303,1.8602609170807733,5.447868625322978
9,1,0.4000476631853316,1.1472041143311396,0.5316901408450704,0.493719806763285,0.5316901408450704,0.4629053687688103,0.6957113217315638,-0.01749723247519608,1.8485310408804152,5.299995568063524
9,2,0.4067639973428514,1.1512587434715695,0.5140845070422535,0.47233326171380025,0.5140845070422535,0.44637102193890366,0.684369988644645,-0.005428077104497664,1.7833776937590704,5.015805390146044
9,3,0.3753514124287499,1.1090381741523743,0.5299295774647887,0.5520391999694645,0.5299295774647887,0.4520444161179196,0.6935878050388917,-0.01956299445969467,1.7567190395461187,4.916807095209758
9,4,0.4027544773287243,1.1887560553020902,0.5176056338028169,0.41343824555898967,0.5176056338028169,0.4459629190499147,0.6931044623048743,-0.03506410024249096,1.8473158081372578,5.403075324164496
10,1,0.39924713638093734,1.1765816973315344,0.5246478873239436,0.47306566007422385,0.5246478873239436,0.46223444966562177,0.7009991133825113,-0.013312949807395835,1.8562956982188754,5.352862265374926
10,2,0.40378957490126294,1.184780137406455,0.5176056338028169,0.4830169788032192,0.5176056338028169,0.4545612143768728,0.661871358051954,0.005315166265522087,1.7839404675695631,5.019333706961738
10,3,0.38142360415723586,1.1336697704262204,0.5352112676056338,0.5062807381290146,0.5352112676056338,0.46518094013372857,0.6962535471116276,-0.020476719822975387,1.760083297888438,4.939704378445943
10,4,0.3989134546783235,1.177059468295839,0.5017605633802817,0.44649283566537085,0.5017605633802817,0.44334756959002386,0.6963479799338752,-0.025690554294103052,1.842633048693339,5.36713265048133
11,1,0.3953998022609287,1.1793494522571564,0.522887323943662,0.4701375154488398,0.522887323943662,0.4643914702296804,0.6893617562743691,0.005732251869677518,1.853888750076294,5.329087257385254
11,2,0.39946379595332676,1.1724852820237477,0.5158450704225352,0.4908677363582694,0.5158450704225352,0.4678139227588464,0.6823683874205195,-0.051719636771030864,1.7847919199201796,5.041801280445522
11,3,0.37849779261483085,1.1455316444238026,0.5369718309859155,0.49875905700935164,0.5369718309859155,0.4712093178146158,0.7221180755193498,0.006503918769756423,1.756282005045149,4.913346807161967
11,4,0.3947727547751533,1.149505701329973,0.5440140845070423,0.5140705763781969,0.5440140845070423,0.5004136692458685,0.7060016431217204,-0.038625561968350874,1.8567772971259222,5.428361919191149
12,1,0.39530030224058366,1.170286410384708,0.5352112676056338,0.47658923391234725,0.5352112676056338,0.48049843054031927,0.690366419412566,-0.0019375935160046431,1.8404362400372822,5.28797189394633
12,2,0.38625191814369625,1.1330144107341766,0.5440140845070423,0.5313168100901365,0.5440140845070423,0.4901367862168008,0.7077850264147925,-0.03641271797322809,1.7893157005310059,5.066985249519348
12,3,0.37416964603794944,1.1259507338205974,0.5299295774647887,0.4825219754098007,0.5299295774647887,0.47795123047982097,0.724754631842728,-0.03361435012261804,1.7696263591448467,4.9827006260554
12,4,0.37980543076992035,1.1104867855707805,0.5422535211267606,0.49680570645955985,0.5422535211267606,0.5100679936719689,0.7242860790662341,-0.01792664025991675,1.8460287186834548,5.385830574565464
13,1,0.3659067816204495,1.1127877467208438,0.5633802816901409,0.5102308986861074,0.5633802816901409,0.5138706381446093,0.7227599575112078,-0.040105128282375,1.8498091962602403,5.304498023456997
13,2,0.3866748842928145,1.1779625117778778,0.5334507042253521,0.49618165099568246,0.5334507042253521,0.48038829038133146,0.7121786157377781,-0.024622797937282392,1.782543957233429,5.022854487101237
13,3,0.3698524766498142,1.1025158829159207,0.5246478873239436,0.48467584057126517,0.5246478873239436,0.48997108002395073,0.7322825223626535,0.0017140792270977645,1.76355332798428,4.933093243175083
13,4,0.38714229895008934,1.1618037786748674,0.5440140845070423,0.5013024264784829,0.5440140845070423,0.49816493150851565,0.7284306375571574,-0.030620316604541564,1.8555487791697185,5.410706334643894
14,1,0.3737146688832177,1.1091252730952368,0.5580985915492958,0.5250456500760047,0.5580985915492958,0.510940705045552,0.718209035529366,-0.02047756826069902,1.8458636932902865,5.284719652599758
14,2,0.36783211595482296,1.1069506870375738,0.5563380281690141,0.5156077842378418,0.5563380281690141,0.5161428929833269,0.7338850461871691,-0.024144187029285114,1.7843341098891363,5.052945494651794
14,3,0.3712158732944065,1.122530632548862,0.545774647887324,0.4941026312666183,0.545774647887324,0.5108826269436249,0.7193951125655594,-0.02331256675451332,1.7608930733468797,4.930743681059943
14,4,0.38749779264132184,1.1840269433127508,0.5264084507042254,0.5000740718133303,0.5264084507042254,0.49029640103353633,0.7206710169675518,-0.014034777775774554,1.85869304339091,5.47013439072503
15,1,0.3724408513969845,1.1538859042856429,0.5598591549295775,0.512155858480114,0.5598591549295775,0.519554666103841,0.7200207954894058,-0.04185931993029146,1.858986172411177,5.372776415612963
15,2,0.37735073102845085,1.143781112300025,0.5246478873239436,0.4826731218121838,0.5246478873239436,0.49695270695861815,0.7088515261275625,0.004730848758960682,1.7840363317065768,5.0452622175216675
15,3,0.37348024050394696,1.1386977268589868,0.5299295774647887,0.4871900821243241,0.5299295774647887,0.4893321008119456,0.7226880897544918,-0.03720103286300458,1.7523992988798354,4.909059842427571
15,4,0.36681030028396183,1.0845562352074518,0.5369718309859155,0.5162817137659921,0.5369718309859155,0.5023156411926958,0.7449967574348666,-0.018277877433112488,1.8591352701187134,5.421689007017347
16,1,0.3759612523847156,1.1750943495167627,0.5369718309859155,0.4820866011327962,0.5369718309859155,0.4947799742014239,0.7233754259388301,-0.022454676479601643,1.850577023294237,5.320878346761067
16,2,0.3613581243488524,1.0733165972762637,0.5651408450704225,0.5315196530967761,0.5651408450704225,0.5173056328466386,0.7414897563050347,-0.028761404617640984,1.7863360974523756,5.0401853455437555
16,3,0.37516219748391044,1.1677501168515947,0.5352112676056338,0.49753601971770217,0.5352112676056338,0.4995261887824289,0.7121319676157901,-0.04237599076263043,1.7700180212656658,4.99538889196184
16,4,0.3682839804225498,1.1037225193447537,0.5422535211267606,0.494022265929344,0.5422535211267606,0.5023940643363703,0.7364783610165161,0.0022296407568777044,1.8445176879564922,5.376243074735005
17,1,0.3690514763196309,1.156126191218694,0.5669014084507042,0.5185804813736642,0.5669014084507042,0.5216519599341457,0.7146368277565367,-0.009519536534749129,1.8419580393367343,5.2894784741931495
17,2,0.3663201696342892,1.0657265318764582,0.5492957746478874,0.5118293768058487,0.5492957746478874,0.5259072163739128,0.7295842172138491,-0.004930186519823021,1.7850863205062018,5.020579404301113
17,3,0.35323863393730587,1.0961768627166748,0.5686619718309859,0.5095845740655458,0.5686619718309859,0.50921259532644,0.7529237695900883,-0.025157205690498508,1.7712346447838678,4.991143001450433
17,4,0.3558519151475694,1.1039740608798132,0.5440140845070423,0.5073025125862463,0.5440140845070423,0.519520281399366,0.74142544029464,-0.01563914695713753,1.8470734159151714,5.396974682807922
18,1,0.34133102827601963,1.043962644206153,0.5721830985915493,0.5054217366991338,0.5721830985915493,0.52810193433237,0.7606460423128542,0.02168439499201258,1.8450516329871283,5.295846806632148
18,2,0.3672824071513282,1.127467777993944,0.5616197183098591,0.5099882953192675,0.5616197183098591,0.521530813417001,0.7371628021573362,-0.05483569216778261,1.7910725408130221,5.083410448498196
18,3,0.35218298849132323,1.129010733630922,0.545774647887324,0.49327059332114653,0.545774647887324,0.49734831473724156,0.721571031185532,-0.0027987549949168855,1.7596465680334303,4.922714471817017
18,4,0.36055146157741547,1.0915680362118616,0.5369718309859155,0.5068027035481516,0.5369718309859155,0.5137637434953517,0.750264304789898,-0.018250646246765756,1.8475099802017212,5.387219667434692
19,1,0.343308644162284,1.0864315728346507,0.5897887323943662,0.5421682833166773,0.5897887323943662,0.5516585421447187,0.7519133048176042,0.001955559778342386,1.8495617376433477,5.321095175213284
19,2,0.3440314580996831,1.070367803176244,0.5563380281690141,0.5126024542805316,0.5563380281690141,0.5227175350143797,0.7373838503973983,-0.0023166359999062802,1.784656008084615,5.037918210029602
19,3,0.3563496967156728,1.1146730548805661,0.5545774647887324,0.5115143155423849,0.5545774647887324,0.5068735117859868,0.7372003900627395,-0.05951511760609196,1.7663659387164645,4.972087767389086
19,4,0.3417791906330321,1.0271814597977533,0.573943661971831,0.5331875901762613,0.573943661971831,0.5460350375977899,0.7695653786417008,0.013160183313450036,1.8563966287506952,5.4348503483666315
20,1,0.34104502035511863,1.0613859991232555,0.5669014084507042,0.5048908250260578,0.5669014084507042,0.5278822146946877,0.7630276952527966,-0.030638182087678656,1.852521498998006,5.332556141747369
20,2,0.34495139949851567,1.0478369096914928,0.573943661971831,0.5178766498529999,0.573943661971831,0.5235517901128933,0.7589451056505225,-0.03794735209309508,1.792994651529524,5.071117692523533
20,3,0.33570675055185956,1.0733195510175493,0.579225352112676,0.534547439842953,0.579225352112676,0.5398043219990023,0.7560305168249759,0.002167204633521269,1.7558675010999043,4.926575064659119
20,4,0.3464143027861913,1.076988657315572,0.5686619718309859,0.5193432410711274,0.5686619718309859,0.5381781809975491,0.7648965538380867,-0.029010950710752992,1.8540222975942824,5.433409346474542
21,1,0.3293672601381938,1.0567249357700348,0.5827464788732394,0.5387517760968542,0.5827464788732394,0.5508570665646397,0.7538644300700216,0.0014728078183344762,1.8478019171290927,5.315870457225376
21,2,0.3389546540048387,1.0648070971171062,0.5880281690140845,0.5528926971891022,0.5880281690140845,0.5582477971988088,0.752436298775121,-0.03723909987860119,1.7896441022555034,5.048919982380337
21,3,0.3342444168196784,1.064066853788164,0.5862676056338029,0.5328145961765257,0.5862676056338029,0.5334983990693636,0.7690305142393176,-0.002848583060743426,1.7654596832063463,4.956932173834907
21,4,0.34926334685749477,1.0844000710381403,0.5880281690140845,0.5545616717676047,0.5880281690140845,0.5572284831760639,0.7654203554872123,-0.032699863603295576,1.8515731162495084,5.421838243802388
22,1,0.3364090455902947,1.0356279114882152,0.6144366197183099,0.5636935893033036,0.6144366197183099,0.5818195335117312,0.7654846710629418,-0.01398058887810083,1.8522118396229215,5.327240573035346
22,2,0.323981165058083,0.9880547953976525,0.596830985915493,0.5501713627539699,0.596830985915493,0.5616625523456195,0.7850247794190338,0.0028501768576754127,1.776060163974762,4.994259662098354
22,3,0.31435297263993156,1.0193321936660342,0.5933098591549296,0.553619898640262,0.5933098591549296,0.5560902296610665,0.7668410934615021,-0.00817808996049152,1.7659907076093886,4.9653251965840655
22,4,0.32933320932918125,1.0426912440194025,0.5950704225352113,0.551007534339114,0.5950704225352113,0.5608855116354972,0.7781193908904366,-0.027279391470954595,1.8494457470046148,5.380271275838216
23,1,0.3444650537437863,1.09128118885888,0.5616197183098591,0.5148718421597103,0.5616197183098591,0.5336275988778418,0.764342440545379,-0.03449857146539803,1.8601428469022114,5.370948685540093
23,2,0.3445788025856018,1.068450176053577,0.551056338028169,0.5073610698779846,0.551056338028169,0.5173448917059116,0.7592133559066799,-0.0334099070167333,1.7818311121728685,5.020475467046102
23,3,0.31910953256818986,0.9989272587829165,0.5809859154929577,0.5316145095726489,0.5809859154929577,0.5399424937951286,0.7793705188496063,0.026160592829923113,1.768312434355418,4.960073676374224
23,4,0.3259313396281666,1.0265820523103077,0.5880281690140845,0.5489064125025731,0.5880281690140845,0.5524308823725911,0.7882402546416203,-0.02435179482098704,1.8487971358829074,5.413478533426921
24,1,0.328397230969535,1.069871296485265,0.5880281690140845,0.5421389373219876,0.5880281690140845,0.5611629440508598,0.7627846605123657,-0.014040397402055982,1.8498137129677668,5.321581919987996
24,2,0.32426965567800736,1.020738164583842,0.5862676056338029,0.5349366118145461,0.5862676056338029,0.5462442848426182,0.7751424696060468,0.0048597003160858465,1.7786325679885016,5.019903368420071
24,3,0.32343897720177966,1.011333144373364,0.5880281690140845,0.5436698898699993,0.5880281690140845,0.5594428945219505,0.7766225144779835,-0.014212085043859402,1.7598741054534912,4.923602806197272
24,4,0.3274748565422164,1.0324667096138,0.5757042253521126,0.5366742941307978,0.5757042253521126,0.5336054509382134,0.7868516069665447,0.0022789306482939864,1.8473059733708699,5.383970644738939
25,1,0.31023337609238094,0.9878399968147278,0.5809859154929577,0.5399146857913772,0.5809859154929577,0.5572872441444062,0.7842420549476642,-0.024422356230742848,1.850202136569553,5.3105992741054955
25,2,0.31150127698977786,0.96904147333569,0.6056338028169014,0.5566902465342046,0.6056338028169014,0.5691547444005998,0.7874939486143604,-0.010834903529635342,1.782166924741533,5.027792943848504
25,3,0.3152424527539147,1.0230453742874994,0.5950704225352113,0.5449992625578469,0.5950704225352113,0.5524306634023004,0.7961373753300106,-0.009722833696518052,1.7610432439380221,4.940933836830987
25,4,0.33116793798075783,1.060177183813519,0.5827464788732394,0.5479733683171005,0.5827464788732394,0.5594560477224644,0.7854757778451682,-0.037282769201593347,1.8490665555000305,5.413726369539897
26,1,0.3312413758701748,1.0572522746192083,0.5845070422535211,0.519062234585885,0.5845070422535211,0.54281075811226,0.7568259691905803,-0.010483538059365305,1.8501808842023213,5.329360604286194
26,2,0.31796637922525406,0.9672463105784522,0.6214788732394366,0.5715902553969868,0.6214788732394366,0.5861345164210969,0.7847624982509779,0.005820575897057756,1.7860621876186795,5.041007359822591
26,3,0.2988242672549354,0.9638960758845011,0.5809859154929577,0.5373431905989929,0.5809859154929577,0.5461824927518623,0.7900231507006295,-0.023712634422603074,1.7594659725824993,4.939271291097005
26,4,0.31534623603026074,0.9915144973331027,0.6126760563380281,0.5672496259780793,0.6126760563380281,0.5840909020448507,0.8026597207714132,-0.013006181034125541,1.847966942522261,5.402665853500366
27,1,0.29487674021058613,0.942820088730918,0.6144366197183099,0.5716538569378563,0.6144366197183099,0.5891027491219479,0.8089494084897908,0.009068381959076,1.8489112257957458,5.3060440222422285
27,2,0.3017309308052063,0.963787231180403,0.6285211267605634,0.5802510570534454,0.6285211267605634,0.5970258954315424,0.7977027235156953,-0.02766841135653597,1.7895024220148723,5.0765831338034735
27,3,0.29779038661056095,0.9788550304041969,0.6161971830985915,0.5752837507286924,0.6161971830985915,0.5871481454177869,0.7923911531340763,-0.0041574890484872284,1.7629847394095526,4.952631115913391
27,4,0.3028547465801239,0.9958541923099093,0.596830985915493,0.5525625692147551,0.596830985915493,0.567762374537663,0.8087925646667093,-0.0406643865182541,1.84834486246109,5.39853298664093
28,1,0.30979035298029584,0.9888509280151792,0.6091549295774648,0.5666157982083972,0.6091549295774648,0.5803119727494102,0.7994798256151509,-0.03321279468040328,1.850231369336446,5.320239199532403
28,2,0.30529700054062736,0.9469642043113708,0.6232394366197183,0.5799775338434737,0.6232394366197183,0.5903104402302382,0.7978430814252322,0.00035202698892955464,1.7939274907112122,5.072477208243476
28,3,0.2897045256363021,0.9107270439465841,0.6144366197183099,0.5782252619688875,0.6144366197183099,0.5879650515239366,0.816835157929418,0.006738634912018648,1.7551396952735052,4.9289347065819635
28,4,0.3016379591491487,0.9534557229942746,0.6214788732394366,0.5890250903618958,0.6214788732394366,0.5965704238687966,0.8212431076907174,-0.0379939680383814,1.8448285659154255,5.372862339019775
29,1,0.30581968194908565,0.9700566894478269,0.6144366197183099,0.566081974073298,0.6144366197183099,0.5854796683421901,0.8066843193987017,-0.026077640858010787,1.8590019279056125,5.359642359945509
29,2,0.29941117184029686,0.9199350939856635,0.6232394366197183,0.5712085596423085,0.6232394366197183,0.5946549499613097,0.8017454088806435,-0.004607452007969304,1.797130028406779,5.098897430631849
29,3,0.3063029282622867,1.014733827776379,0.5845070422535211,0.5326846275732848,0.5845070422535211,0.5421582925527192,0.7954137908087142,-0.01764817789755524,1.7693691187434726,5.007393611801995
29,4,0.3050924688577652,0.9762875636418661,0.6161971830985915,0.5817440170236051,0.6161971830985915,0.5880681906533708,0.8100986993958301,-0.022568312780795186,1.8516238729159038,5.430776211950514
30,1,0.29793984774086213,0.9692377944787344,0.6267605633802817,0.5799468784353565,0.6267605633802817,0.5982408770751881,0.8051384726339899,-0.035084709703522066,1.849074403444926,5.31719175974528
30,2,0.2992750232418378,0.9345164895057678,0.6214788732394366,0.5764600099249488,0.6214788732394366,0.5826824702536554,0.798187349632457,0.01309171668433895,1.780635933081309,5.019040743509929
30,3,0.30690085060066646,0.9781355063120524,0.602112676056338,0.5569503563350022,0.602112676056338,0.5683649924036936,0.8050226259307431,-0.013257186428122791,1.7565292914708455,4.946206318007575
30,4,0.31398778822686935,0.9779321584436629,0.6003521126760564,0.5601669826652221,0.6003521126760564,0.5719682038884918,0.8007051017818981,-0.04013080666293867,1.8492758009168837,5.397699197133382
31,1,0.29854560477866066,0.9614037407769097,0.6214788732394366,0.5696342221707792,0.6214788732394366,0.5926290593681425,0.8095656887447937,-0.011527112384141835,1.8511834806866116,5.313059780332777
31,2,0.2734408527612686,0.843506568007999,0.6320422535211268,0.5837751686277538,0.6320422535211268,0.5940445632685878,0.8218845596208273,-0.018190728952149904,1.7869482305314806,5.031033039093018
31,3,0.26863370256291497,0.9016618529955546,0.6232394366197183,0.5802074857253003,0.6232394366197183,0.5829700933884615,0.8155678257040611,0.0011914681561693286,1.7624882459640503,4.9483433034684925
31,4,0.2948732020126449,0.9502712753083971,0.596830985915493,0.6314465704222813,0.596830985915493,0.576149568807645,0.8148225334490958,-0.01485095415371429,1.846478071477678,5.377443446053399
32,1,0.289317293299569,0.9463912977112664,0.6197183098591549,0.6373431473738835,0.6197183098591549,0.5933183196397045,0.8198581075660192,-0.02181718110165831,1.8539627260631986,5.347279601626926
32,2,0.28737323068910176,0.8824622829755148,0.6373239436619719,0.6240295937192357,0.6373239436619719,0.606254453390801,0.824038944498396,-0.011509782171248206,1.7927589019139607,5.081836475266351
32,3,0.2835811169611083,0.9530516895982954,0.6161971830985915,0.5652920309723791,0.6161971830985915,0.5764155154036346,0.8081654405924754,-0.03728802393605246,1.75580405526691,4.933142463366191
32,4,0.2842837944626808,0.8977176381482018,0.6267605633802817,0.5831949827265558,0.6267605633802817,0.6012567689478342,0.8227713096342126,-0.005069255046852739,1.861271275414361,5.4389044178856745
33,1,0.28684356725878185,0.9398440155718062,0.6373239436619719,0.6580079266785995,0.6373239436619719,0.6021094768423796,0.814901091095587,-0.009238636430527247,1.8460034992959764,5.299169792069329
33,2,0.29022197011444306,0.9083392355177138,0.6338028169014085,0.5851963207722187,0.6338028169014085,0.5888597678056111,0.8160486942436734,-0.025682986447716827,1.7939138611157734,5.062706311543782
33,3,0.2693543392750952,0.9000347852706909,0.6073943661971831,0.5617187685979625,0.6073943661971831,0.5777290194635497,0.8227052842672422,0.02486531396487701,1.761130498515235,4.948494129710728
33,4,0.2747916926940282,0.8895342035426034,0.6267605633802817,0.6237847528135547,0.6267605633802817,0.5918257097112782,0.8256039518349031,-0.04062097501594919,1.8440351088841755,5.367681728469001
34,1,0.27759500592947006,0.8800742957327101,0.6232394366197183,0.5759936392548841,0.6232394366197183,0.5979155698470571,0.829586413610655,0.003836527027917258,1.8510012494193182,5.313303960694207
34,2,0.27408963027927613,0.8966581192281511,0.6267605633802817,0.648789479691635,0.6267605633802817,0.5980253480871683,0.8172233900182257,-0.02527871743474619,1.7877159780926175,5.053468518786961
34,3,0.29621929344203735,0.9864909648895264,0.6126760563380281,0.5912817441565302,0.6126760563380281,0.5719765116349201,0.7947287580026959,-0.025692112662308197,1.757878111468421,4.91768401198917
34,4,0.261513438489702,0.830594367451138,0.647887323943662,0.6049812446561491,0.647887323943662,0.6160986073902724,0.839979888430518,-0.0023299473957874017,1.8556421332889133,5.433814949459499
35,1,0.2947147347860866,0.9473584493001302,0.6161971830985915,0.5629302759015956,0.6161971830985915,0.5840025877702983,0.814693896566992,-0.0146177082497847,1.8564373585912917,5.338996503088209
35,2,0.26784152454800075,0.8612022565470802,0.653169014084507,0.6698542183268519,0.653169014084507,0.6207374170934064,0.8360784724509652,0.012083156220184632,1.7851356665293376,5.037338720427619
35,3,0.2809894225663609,0.9235782126585642,0.6355633802816901,0.5811602246713102,0.6355633802816901,0.5943750623185554,0.829857123189483,-0.05458592312014088,1.7652998963991802,4.948945694499546
35,4,0.27577186955346,0.8932292494508955,0.6232394366197183,0.6269169772676241,0.6232394366197183,0.6022219135950116,0.8321701128096873,-0.01606411411273756,1.8532466093699138,5.40611649884118
36,1,0.2818276319238875,0.8900831242402395,0.6161971830985915,0.5941741199474133,0.6161971830985915,0.5869621400079449,0.8313727837048156,-0.02650460356562867,1.8523816929923163,5.3395684825049505
36,2,0.2660554216967689,0.838095936510298,0.6461267605633803,0.6066888613851743,0.6461267605633803,0.6212765720940917,0.8437142539500606,0.00018443171514248569,1.7799956401189168,5.001845651202732
36,3,0.2977394544416004,0.9793549726406733,0.6144366197183099,0.5913967908779388,0.6144366197183099,0.5844122380129683,0.8148345423510975,-0.05165105620622357,1.7591940098338656,4.936783883306715
