epoch,fold,total_loss,cross_entropy_loss,accuracy,precision,recall,f1_score,auc,r2_score,mae_loss,mse_loss
1,1,27.128306335873074,1.321747322877248,0.31866197183098594,0.33012976466404464,0.31866197183098594,0.3033752744111672,0.5185479379689584,-15.749746208774017,8.95655271742079,87.34360673692491
1,2,10.061682409710354,1.2850207686424255,0.3961267605633803,0.35265983463009015,0.3961267605633803,0.3690982542813414,0.5179308851278827,-5.079578847981416,4.938092337714301,30.540558285183376
1,3,2.846731278631422,1.2580724159876506,0.3890845070422535,0.2763490050093969,0.3890845070422535,0.32287186514787153,0.5349057698110468,-0.3020851551840589,2.059980935520596,6.553601688808865
1,4,2.6246378156873913,1.2526074912812974,0.397887323943662,0.2736333393052914,0.397887323943662,0.3073903424556965,0.5275521035676857,-0.07991192586035911,1.9177362389034696,5.826041751437717
2,1,2.4902630183431835,1.2354832887649536,0.4084507042253521,0.3334617608124365,0.4084507042253521,0.3278497633028783,0.5414714650317626,-0.04820786290143242,1.8730195760726929,5.418082157770793
2,2,2.391694664955139,1.2272905442449782,0.4137323943661972,0.5039652080234558,0.4137323943661972,0.3437501519340697,0.5414919079440387,-0.0452811074188435,1.8038889368375142,5.108637279934353
2,3,2.365303761429257,1.2411958906385634,0.3996478873239437,0.28178638872340184,0.3996478873239437,0.3273151562077527,0.5524087451101765,-0.027735996525090734,1.7725290192498102,4.988222029474047
2,4,2.5276989804373846,1.2643911904758878,0.3996478873239437,0.293337007186562,0.3996478873239437,0.3383249226056519,0.49298042944414083,-0.040680966552251174,1.8634188042746649,5.475417084164089
3,1,2.4728012813462152,1.2246885829501681,0.44190140845070425,0.3223011769505975,0.44190140845070425,0.33822069744633215,0.5516846323170883,-0.0427196016408542,1.8633823990821838,5.385064098570082
3,2,2.405741466416253,1.2333466940455966,0.39436619718309857,0.2922875796445339,0.39436619718309857,0.3351406697717191,0.538501364828325,-0.03547036066358977,1.8082441356447008,5.141329050064087
3,3,2.3696700400776334,1.2388807005352445,0.38204225352112675,0.27313737203405125,0.38204225352112675,0.3061534409107419,0.5559498562390754,-0.035497231652033,1.7776261501842074,5.008178260591295
3,4,2.5269584788216486,1.2401829295688205,0.4278169014084507,0.35653111601423176,0.4278169014084507,0.3566773771589315,0.5481989818774208,-0.050124254394782186,1.8790491157107883,5.529434614711338
4,1,2.466814339160919,1.2040179040696886,0.43309859154929575,0.3155304918516334,0.43309859154929575,0.36077700874844526,0.5756376615517725,-0.04472863156551998,1.869587865140703,5.413339191012913
4,2,2.3938830428653293,1.2251649300257366,0.41725352112676056,0.3453171954444029,0.41725352112676056,0.35401056362901,0.5638799387021218,-0.04030053711543746,1.804250458876292,5.120891822708978
4,3,2.382251309023963,1.2355311777856615,0.4137323943661972,0.29158820190767737,0.4137323943661972,0.3355098191790761,0.5829875182290982,-0.034023354546744544,1.788052711221907,5.057931409941779
4,4,2.5102266470591226,1.234297553698222,0.43309859154929575,0.3614646603927956,0.43309859154929575,0.3637245594639176,0.5456546648993807,-0.05517302596963991,1.8689711160129971,5.487394452095032
5,1,2.4554114209281073,1.2108488943841722,0.4454225352112676,0.3253721235588221,0.4454225352112676,0.3709698978182822,0.5734033692998521,-0.023829591918747228,1.8581809666421678,5.3593905501895485
5,2,2.393494427204132,1.2242723041110568,0.4295774647887324,0.5160791501081738,0.4295774647887324,0.3637167733213814,0.5550575940842297,-0.03811085640881928,1.8023582895596821,5.121679226557414
5,3,2.382485647996267,1.2303289506170485,0.42077464788732394,0.40758820600369894,0.42077464788732394,0.3532134389371333,0.5695457015163089,-0.034980962418612815,1.7807058691978455,5.070851100815667
5,4,2.4890426794687905,1.2210597660806444,0.448943661971831,0.42810113694213475,0.448943661971831,0.3843522074621207,0.5750943421877063,-0.022983770120791114,1.8611139323976305,5.447669294145372
6,1,2.464047842555576,1.2170379426744249,0.4507042253521127,0.32912018689168904,0.4507042253521127,0.37672102138021935,0.5794591106175482,-0.04709466225581571,1.8630920118755765,5.37373752064175
6,2,2.375309149424235,1.2037544978989496,0.45774647887323944,0.3369398980377556,0.45774647887323944,0.38813650004571976,0.5827901136996314,-0.047258340501552754,1.7962077458699544,5.108936495251125
6,3,2.348746120929718,1.2223614785406325,0.4225352112676056,0.30064102787664043,0.4225352112676056,0.34613873508653065,0.6001740324819507,-0.035223284664555043,1.7698779238594904,4.976976778772142
6,4,2.491040885448456,1.1963336666425068,0.45774647887323944,0.4505403487571613,0.45774647887323944,0.40090785819460023,0.6151718825964279,-0.038112203623914986,1.869616190592448,5.512024164199829
7,1,2.447141064537896,1.1841548416349623,0.4595070422535211,0.38664846276966364,0.4595070422535211,0.391348757409554,0.6172424126510043,-0.0018894999203524776,1.8645020061069064,5.394108719295925
7,2,2.3601420985327826,1.1960859762297735,0.47183098591549294,0.34657796389091805,0.47183098591549294,0.39961270958708034,0.5884072012404145,-0.023016441163261625,1.79564149512185,5.07627288500468
7,3,2.352961348162757,1.2054470313919916,0.4612676056338028,0.4754626314067708,0.4612676056338028,0.38951831593782643,0.6105189616557816,-0.042138282278215033,1.7796562049123976,5.030494650204976
7,4,2.4569833212428622,1.2079174088107214,0.43838028169014087,0.3419699216029831,0.43838028169014087,0.37371230767740454,0.5931864792911438,-0.01308605413762387,1.8422535392973158,5.371470299032
8,1,2.439824382464091,1.1864884893099468,0.49119718309859156,0.4122553946527365,0.49119718309859156,0.42593121428066805,0.59622034151435,-0.03773882158881525,1.862059964074029,5.3642746739917335
8,2,2.3757472501860724,1.1939503351847331,0.44190140845070425,0.35350487540628384,0.44190140845070425,0.379084964824331,0.5846168308317543,-0.009689547760481032,1.8074312806129456,5.133273190922207
8,3,2.334582017527686,1.1887045635117426,0.43661971830985913,0.41916878295113436,0.43661971830985913,0.3664137388342463,0.6287546485905611,-0.021376842207341262,1.7823365926742554,5.0082959863874645
8,4,2.481178548600939,1.1866086655192905,0.4454225352112676,0.39015113348753544,0.4454225352112676,0.3862023787047047,0.6031283184716689,-0.034857215063731406,1.871706744035085,5.501841412650214
9,1,2.4379014836417303,1.1747819417052798,0.4507042253521127,0.3741407115145203,0.4507042253521127,0.39164564739190616,0.6276915911882412,-0.028044519768538168,1.8660187721252441,5.3851801951726275
9,2,2.329905609289805,1.166644463936488,0.4647887323943662,0.47577598007384175,0.4647887323943662,0.39807374436472553,0.6168733029249853,-0.03760691352697809,1.7902119093471103,5.04418158531189
9,3,2.3293994466463723,1.1824374265140958,0.4454225352112676,0.4063642149399954,0.4454225352112676,0.39705770046893724,0.6085803043823875,-0.03926101421598416,1.772890892293718,5.00564404990938
9,4,2.4800659749242993,1.175345281759898,0.43661971830985913,0.36000336513258824,0.43661971830985913,0.3795388147364217,0.6236889557418959,-0.044219777905413205,1.8737712701161702,5.524414128727383
10,1,2.4229610098732843,1.1677482426166534,0.4665492957746479,0.4152409019333391,0.4665492957746479,0.4095365008181013,0.6163440510834896,-0.022175991717922283,1.8615772989061143,5.351790693071154
