epoch,fold,total_loss,cross_entropy_loss,accuracy,precision,recall,f1_score,auc,r2_score,mae_loss,mse_loss
1,1,34.75418493482802,1.3860224352942572,0.25704225352112675,0.2881647767159762,0.25704225352112675,0.23178806490303377,0.5189083757469058,-20.516697536516595,10.36452086766561,112.61322572496202
1,2,34.77985095977783,1.3841469155417547,0.25880281690140844,0.47191659481171455,0.25880281690140844,0.2297334906512813,0.5431393875642906,-21.72257103722459,10.381490548451742,112.70315594143338
1,3,34.604379653930664,1.3940682013829548,0.2676056338028169,0.31300897427439434,0.2676056338028169,0.24077589412691386,0.5006097355203083,-22.086384997627707,10.355802006191677,112.09510252210829
1,4,35.26871395111084,1.3856147329012554,0.27816901408450706,0.2822643584881322,0.27816901408450706,0.2445317202359456,0.5108839348449624,-20.548263362441634,10.442309803432888,114.32927364773221
2,1,34.77065997653537,1.3888369070159063,0.24471830985915494,0.2816111786050939,0.24471830985915494,0.22085692222335968,0.48576453169924144,-20.55092139302305,10.365427758958605,112.6615744696723
2,2,34.74764686160617,1.3874990277820163,0.2711267605633803,0.31304384133968965,0.2711267605633803,0.24689882372634933,0.5095986771382678,-21.73606529112828,10.37416442235311,112.5879864162869
2,3,34.56563917795817,1.395493335194058,0.24647887323943662,0.25792610094766655,0.24647887323943662,0.20796131504897591,0.49530999373242696,-22.07454070984692,10.347927040523953,111.96264012654622
2,4,35.36337576972114,1.3865896463394165,0.2746478873239437,0.31871916676693735,0.2746478873239437,0.2507795874482508,0.5108932801890711,-20.531046848805687,10.454464117685953,114.64253913031683
3,1,34.74121242099338,1.3857112063301935,0.23943661971830985,0.28703098034849417,0.23943661971830985,0.2232945805431789,0.518244816969892,-20.522190917182307,10.361280017428928,112.57071092393663
3,2,34.78154860602485,1.3909467789861891,0.23591549295774647,0.24790746802445154,0.23591549295774647,0.2119729904487229,0.49971043425523176,-21.726795322853814,10.380385398864746,112.69294738769531
3,3,34.62572330898709,1.3901496198442247,0.25528169014084506,0.28244466845304494,0.25528169014084506,0.22269900212084903,0.522817820334864,-22.087746490495828,10.36001205444336,112.1753904554579
3,4,35.21978738572862,1.3868308067321777,0.2746478873239437,0.3279079707000171,0.2746478873239437,0.2575034141255304,0.48106583727183705,-20.531457117352137,10.43127081129286,114.16334872775607
4,1,34.775044441223145,1.3814340697394476,0.28169014084507044,0.2913686104101955,0.28169014084507044,0.24560247049053804,0.5457590122633051,-20.53872862972082,10.364590485890707,112.69346406724718
4,2,34.78495301140679,1.3869712948799133,0.23591549295774647,0.22576191612954563,0.23591549295774647,0.1991073891072956,0.5073640765086507,-21.76165630987523,10.380186292860243,112.71356964111328
4,3,34.52504115634494,1.3928824067115784,0.23591549295774647,0.4894840991796035,0.23591549295774647,0.20288195681583474,0.5253344067844612,-22.071610515704485,10.341242737240261,111.83340496487088
4,4,35.21996879577637,1.3914296097225614,0.25528169014084506,0.2522398139429273,0.25528169014084506,0.22278730664707036,0.4702525483450888,-20.540366484360906,10.430915567609999,114.15322324964735
5,1,34.76044379340278,1.385311437977685,0.26936619718309857,0.29740160303457003,0.26936619718309857,0.24075537374574246,0.5029777858445265,-20.5308213468051,10.363920741611057,112.63574769761827
5,2,34.84081162346734,1.38606196641922,0.2535211267605634,0.2835938964465899,0.2535211267605634,0.22001697089558223,0.5315602288287449,-21.741385342199827,10.39079040951199,112.90188895331488
5,3,34.654795752631294,1.3960328896840413,0.23415492957746478,0.24746128727327243,0.23415492957746478,0.20413687165552868,0.478111911619391,-22.07806639959126,10.362404611375597,112.25857332017686
5,4,35.33282703823514,1.3872696227497525,0.2764084507042254,0.32325321392222794,0.2764084507042254,0.24902493587291213,0.5081647042679783,-20.538389973096148,10.45267587237888,114.5391239590115
6,1,34.74112108018663,1.3852800925572712,0.272887323943662,0.30610011419870575,0.272887323943662,0.2467732531552954,0.5015299569134104,-20.53576863139712,10.361136860317654,112.57141155666775
6,2,34.74875280592177,1.3914678427908156,0.20774647887323944,0.2222361902998258,0.20774647887323944,0.18546948832184684,0.46741880074176534,-21.723082506284637,10.372522672017416,112.58241314358182
6,3,34.531318240695526,1.3948188953929477,0.2323943661971831,0.24632384778588085,0.2323943661971831,0.20419711856476777,0.4844553803628969,-22.076292004146993,10.3429839875963,111.84981240166559
6,4,35.22784784105089,1.3883908192316692,0.2605633802816901,0.29281118820961444,0.2605633802816901,0.23363192790150802,0.5034951487202612,-20.510352195167695,10.43308295143975,114.18657726711697
7,1,34.73015817006429,1.3863335582945082,0.2711267605633803,0.29992163952092,0.2711267605633803,0.231755565364132,0.5180077522369995,-20.53054228695683,10.358199384477404,112.53241221110027
7,2,34.793701065911186,1.38951004213757,0.22887323943661972,0.23587036257399474,0.22887323943661972,0.20225154278050933,0.48079650311065836,-21.74078406093075,10.379073090023464,112.73680877685547
7,3,34.58210574256049,1.3922050462828741,0.23943661971830985,0.2315019007770858,0.23943661971830985,0.19802628389072563,0.49847611833444144,-22.082977315357084,10.35142109129164,112.02520412868924
7,4,35.21002557542589,1.3864858282936945,0.2623239436619718,0.33832516917843947,0.2623239436619718,0.2293647645333407,0.5015570258000674,-20.492494560312934,10.432099872165256,114.13161298963759
8,1,34.73367214202881,1.3892526162995233,0.23415492957746478,0.29464069233477935,0.23415492957746478,0.21653296979717973,0.5047961165714876,-20.511116637369987,10.359224001566568,112.53731070624457
8,2,34.79004584418403,1.387276331583659,0.2605633802816901,0.3159763565182653,0.2605633802816901,0.23250202379622925,0.5259094948866574,-21.72286979036176,10.382048818800184,112.72983762953017
8,3,34.5320348739624,1.390224105781979,0.2605633802816901,0.29699355070822286,0.2605633802816901,0.21125218352060043,0.5192019694816481,-22.058077961319384,10.344814035627577,111.86292054918077
8,4,35.29883723788791,1.3886554307407803,0.26936619718309857,0.2763070019532536,0.26936619718309857,0.24231850182722806,0.489249277296807,-20.54602137948388,10.44660653008355,114.42258877224393
9,1,34.74694357977973,1.3893317646450467,0.23943661971830985,0.2555468155650568,0.23943661971830985,0.21672846846287103,0.4930535107028272,-20.52767638999727,10.362049632602268,112.58136579725478
9,2,34.768770429823135,1.3842012484868367,0.2535211267605634,0.26834499595641986,0.2535211267605634,0.22258928566988923,0.547646292651485,-21.733908664492873,10.378155337439644,112.66609276665582
9,3,34.57949468824599,1.3940860960218642,0.22711267605633803,0.18495242614779914,0.22711267605633803,0.18201045848829517,0.5022206066339396,-22.091496984396247,10.35242912504408,112.01210742526584
9,4,35.161541091071236,1.3912120593918695,0.23767605633802816,0.24189370091516843,0.23767605633802816,0.21471266790550525,0.4737614359978892,-20.50893519561393,10.422159830729166,113.95897081163194
10,1,34.79893557230631,1.38357146581014,0.272887323943662,0.3028182484745798,0.272887323943662,0.243658589669849,0.5270296626418536,-20.547547227619017,10.369053999582926,112.76811345418294
10,2,34.803530269198944,1.3891513016488817,0.2676056338028169,0.31919673965833983,0.2676056338028169,0.24577316670455718,0.4952977095169999,-21.746568402243746,10.383486959669325,112.77040990193684
10,3,34.50691350301107,1.396922720803155,0.24295774647887325,0.2747416976113304,0.24295774647887325,0.21819695914998619,0.47789591182745356,-22.07535558088794,10.337128586239285,111.76355489095052
10,4,35.24327267540826,1.3849763936466641,0.2711267605633803,0.29173332892523035,0.2711267605633803,0.24516513719104394,0.5169021668717048,-20.52028365521503,10.437563631269667,114.2459585401747
