Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
15,3,2.0997,0.895201,0.6144,0.5647,0.6144,0.5826,0.8177,-0.003389,1.7592,4.9101
15,4,2.2719,0.930023,0.6004,0.548,0.6004,0.5619,0.8021,-0.025118,1.8494,5.4028
16,1,2.211,0.884021,0.6197,0.5669,0.6197,0.5864,0.8124,-0.000756,1.8489,5.3073
16,2,2.1319,0.86846,0.6408,0.5869,0.6408,0.5978,0.8251,-0.015237,1.7934,5.0798
16,3,2.0463,0.805942,0.6373,0.5817,0.6373,0.5992,0.8475,-0.034416,1.7636,4.9406
16,4,2.2348,0.844373,0.6461,0.597,0.6461,0.6191,0.8414,-0.011274,1.8635,5.4793
17,1,2.2063,0.866905,0.5968,0.5561,0.5968,0.5747,0.8157,-0.029417,1.852,5.3317
17,2,2.0929,0.81789,0.6479,0.6226,0.6479,0.594,0.8404,-0.024611,1.79,5.0679
17,3,2.045,0.809526,0.6408,0.5862,0.6408,0.6027,0.8519,-0.008476,1.755,4.9277
17,4,2.2179,0.837429,0.6285,0.5978,0.6285,0.6104,0.8404,-0.014834,1.8521,5.4389
18,1,2.1303,0.790743,0.6532,0.6036,0.6532,0.6187,0.8455,-0.013809,1.8391,5.256
18,2,2.0538,0.794439,0.6796,0.6232,0.6796,0.6331,0.8423,-0.007059,1.7792,4.9925
18,3,2.0544,0.808182,0.6373,0.5926,0.6373,0.6044,0.8494,-0.029797,1.7673,4.9622
18,4,2.1865,0.807802,0.6461,0.6076,0.6461,0.6259,0.8501,-0.016413,1.8525,5.4036
19,1,2.1886,0.87293,0.625,0.6363,0.625,0.5944,0.8216,-0.020137,1.8385,5.2586
19,2,2.0578,0.798451,0.6408,0.6304,0.6408,0.6111,0.8526,-0.02043,1.7768,4.9963
19,3,2.0466,0.818383,0.6232,0.577,0.6232,0.5956,0.8448,-0.012543,1.754,4.9126
19,4,2.1192,0.739587,0.6708,0.6284,0.6708,0.648,0.8687,-0.015429,1.8365,5.3382
20,1,2.1075,0.758424,0.6655,0.6803,0.6655,0.6267,0.8662,0.002758,1.8395,5.2554
20,2,2.0615,0.787258,0.6637,0.6203,0.6637,0.6344,0.8584,-0.016589,1.7797,5.0348
20,3,2.0467,0.812249,0.6496,0.627,0.6496,0.6271,0.8378,-0.01316,1.7594,4.927
20,4,2.1563,0.792189,0.6461,0.604,0.6461,0.6228,0.8593,-0.014401,1.8396,5.3392
21,1,2.129,0.779872,0.6461,0.6215,0.6461,0.6243,0.8511,-0.01286,1.844,5.2768
21,2,2.0204,0.747598,0.6725,0.6869,0.6725,0.6495,0.8712,-0.007317,1.7771,4.9903
21,3,2.0197,0.781829,0.6567,0.6483,0.6567,0.6239,0.8614,-0.009845,1.7569,4.9079
21,4,2.1674,0.782925,0.6602,0.6626,0.6602,0.645,0.8591,-0.028052,1.8512,5.3977
22,1,2.1088,0.749311,0.6919,0.6855,0.6919,0.6691,0.8677,-0.00554,1.8454,5.2811
22,2,2.014,0.721119,0.6831,0.6783,0.6831,0.6588,0.8698,-0.009922,1.7849,5.0308
22,3,1.9898,0.745847,0.6831,0.7015,0.6831,0.6637,0.8689,-0.003295,1.7501,4.8923
22,4,2.1037,0.715518,0.6954,0.6892,0.6954,0.6794,0.8857,-0.020416,1.8385,5.3429
23,1,2.1478,0.820277,0.6514,0.6228,0.6514,0.6312,0.8337,-0.02895,1.8337,5.2452
23,2,2.0042,0.724239,0.6954,0.6877,0.6954,0.6729,0.8752,0.014142,1.7774,4.9908
23,3,2.0252,0.774791,0.6426,0.6272,0.6426,0.6201,0.8592,-0.008868,1.756,4.9428
23,4,2.1524,0.755266,0.6813,0.6893,0.6813,0.6685,0.8679,-0.022745,1.8496,5.4125
24,1,2.1278,0.758619,0.6585,0.6439,0.6585,0.6446,0.8641,-0.009715,1.8533,5.3224
24,2,2.0256,0.731993,0.6831,0.6697,0.6831,0.6527,0.8695,-0.020715,1.787,5.044
24,3,2.0217,0.776507,0.6567,0.6433,0.6567,0.6371,0.8626,-0.019272,1.7543,4.9272
24,4,2.105,0.719581,0.6796,0.682,0.6796,0.6644,0.8787,-0.003654,1.8352,5.3377
25,1,2.1159,0.755489,0.6655,0.654,0.6655,0.6447,0.8614,-0.005298,1.8441,5.2903
25,2,2.0285,0.743579,0.6831,0.6667,0.6831,0.6677,0.8629,-0.003203,1.7794,5.0266
25,3,1.9679,0.698253,0.6954,0.6928,0.6954,0.682,0.8822,-0.002562,1.7657,4.9305
25,4,2.097,0.693417,0.7025,0.6964,0.7025,0.6845,0.89,-0.004495,1.8434,5.3722
26,1,2.108,0.750495,0.6673,0.6569,0.6673,0.6533,0.8612,-0.021092,1.8446,5.2754
26,2,2.0061,0.719826,0.6919,0.67,0.6919,0.6682,0.8742,-0.014701,1.7761,5.0074
26,3,1.9951,0.742966,0.6708,0.6481,0.6708,0.6484,0.8704,-0.006388,1.7563,4.9169
26,4,2.0843,0.665893,0.7077,0.7134,0.7077,0.6943,0.8924,-0.022411,1.8479,5.3938
27,1,2.0553,0.681397,0.7007,0.6933,0.7007,0.6873,0.8882,-0.024878,1.843,5.2612
27,2,2.0069,0.698025,0.7095,0.7031,0.7095,0.6959,0.8772,-0.004298,1.7821,5.0608
27,3,1.973,0.726333,0.6831,0.6681,0.6831,0.6647,0.8807,-0.008273,1.7495,4.8819
27,4,2.09,0.690816,0.6937,0.6966,0.6937,0.6875,0.888,-0.027776,1.8406,5.3548
28,1,2.0939,0.728123,0.7007,0.6781,0.7007,0.6841,0.8675,-0.002267,1.8428,5.2806
28,2,1.9738,0.692868,0.7113,0.7118,0.7113,0.6927,0.8879,-0.011124,1.7694,4.9628
28,3,1.9808,0.724006,0.6778,0.6528,0.6778,0.656,0.871,-0.01277,1.7542,4.9133
28,4,2.1275,0.739131,0.6761,0.6692,0.6761,0.662,0.8748,-0.018307,1.8422,5.367
29,1,2.0681,0.708395,0.6866,0.6724,0.6866,0.6742,0.8767,-0.017894,1.8354,5.2409
29,2,1.9851,0.680408,0.7095,0.6958,0.7095,0.683,0.8854,0.001731,1.7844,5.0292
29,3,1.9308,0.654121,0.7077,0.7067,0.7077,0.702,0.8935,-0.011731,1.7559,4.9098
29,4,2.0418,0.60831,0.7412,0.7378,0.7412,0.7285,0.9088,-0.010377,1.8486,5.3865
30,1,2.0615,0.683322,0.7148,0.6997,0.7148,0.6973,0.8851,-7.9e-05,1.8431,5.2772
30,2,1.9304,0.619638,0.7271,0.7146,0.7271,0.7116,0.9046,-0.022906,1.7755,4.9888
30,3,1.9379,0.667411,0.7165,0.7063,0.7165,0.7052,0.894,-0.009322,1.7537,4.9023
30,4,2.0634,0.646691,0.7113,0.7098,0.7113,0.7064,0.8974,0.00408,1.8457,5.369
31,1,2.0403,0.677879,0.7025,0.6793,0.7025,0.6859,0.882,-0.021455,1.8395,5.2192
