Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
15,3,2.3369,1.227411,0.4014,0.2862,0.4014,0.3342,0.5553,-0.007688,1.7617,4.9257
15,4,2.4583,1.209947,0.4507,0.3313,0.4507,0.3815,0.5755,-0.014359,1.8445,5.3711
16,1,2.4093,1.190427,0.4577,0.3345,0.4577,0.3854,0.5791,-0.01313,1.8388,5.2534
16,2,2.3507,1.205703,0.4665,0.3472,0.4665,0.3955,0.574,-0.005245,1.7822,5.0223
16,3,2.3231,1.228683,0.4278,0.3075,0.4278,0.3571,0.5535,-0.018069,1.7506,4.8766
16,4,2.4646,1.208515,0.4454,0.3264,0.4454,0.3765,0.5823,-0.013085,1.8464,5.3956
17,1,2.4123,1.188971,0.4489,0.3261,0.4489,0.3738,0.5926,-0.011206,1.8429,5.2666
17,2,2.3527,1.208223,0.4437,0.3284,0.4437,0.3766,0.5695,-0.012588,1.7828,5.0231
17,3,2.3199,1.207104,0.4049,0.2924,0.4049,0.3388,0.5767,-0.0139,1.7551,4.9166
17,4,2.4436,1.189843,0.4577,0.3396,0.4577,0.3887,0.6169,-0.004476,1.8417,5.3689
18,1,2.423,1.192304,0.456,0.3367,0.456,0.3874,0.5993,-0.011256,1.8419,5.2946
18,2,2.3274,1.18025,0.4701,0.3469,0.4701,0.3985,0.6018,-0.006446,1.7804,5.0042
18,3,2.3284,1.218097,0.4366,0.3137,0.4366,0.3645,0.5627,0.005222,1.7611,4.919
18,4,2.4551,1.198534,0.4278,0.314,0.4278,0.3619,0.5749,-0.026798,1.8498,5.387
19,1,2.4243,1.184067,0.4736,0.3509,0.4736,0.403,0.5872,-0.018676,1.8473,5.3182
19,2,2.3204,1.180921,0.4613,0.341,0.4613,0.3914,0.608,-0.002307,1.7721,4.9793
19,3,2.3243,1.215111,0.4102,0.2924,0.4102,0.3414,0.5626,-0.010608,1.7563,4.9123
19,4,2.4505,1.199615,0.4472,0.3381,0.4472,0.381,0.5931,-0.001022,1.8406,5.3691
20,1,2.4111,1.185872,0.4577,0.3373,0.4577,0.3884,0.5978,-0.007582,1.8381,5.27
20,2,2.3403,1.191982,0.4437,0.3236,0.4437,0.3737,0.5897,-0.016597,1.7818,5.0198
20,3,2.3224,1.194289,0.4419,0.321,0.4419,0.3699,0.584,-0.004163,1.7583,4.9547
20,4,2.4443,1.192034,0.463,0.3468,0.463,0.3942,0.6114,-0.022227,1.8457,5.3661
21,1,2.4058,1.179489,0.4472,0.3299,0.4472,0.3797,0.6102,-0.00951,1.8425,5.2672
21,2,2.3223,1.17845,0.4842,0.3601,0.4842,0.4115,0.6109,-0.01602,1.7759,4.9912
21,3,2.296,1.182036,0.4472,0.3219,0.4472,0.3734,0.6109,0.015265,1.7498,4.8951
21,4,2.4172,1.155817,0.4806,0.3658,0.4806,0.4109,0.6431,-0.013933,1.8424,5.3604
22,1,2.4098,1.180139,0.4683,0.3451,0.4683,0.3974,0.6405,-0.003832,1.8414,5.2789
22,2,2.3223,1.168847,0.4701,0.3514,0.4701,0.3995,0.5932,-0.00583,1.7765,5.0136
22,3,2.3013,1.18205,0.4877,0.3548,0.4877,0.4076,0.6046,-0.018272,1.7538,4.913
22,4,2.4359,1.17754,0.456,0.3354,0.456,0.386,0.62,-0.019699,1.8455,5.3721
