Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
15,3,2.3536,1.227445,0.4349,0.306,0.4349,0.3573,0.583,-0.014162,1.7696,4.9814
15,4,2.5103,1.224162,0.4049,0.2878,0.4049,0.335,0.5699,-0.023979,1.868,5.5114
16,1,2.4415,1.216082,0.4454,0.3258,0.4454,0.3646,0.5755,-0.018262,1.8435,5.3006
16,2,2.3608,1.213634,0.4384,0.3159,0.4384,0.3636,0.578,-0.029847,1.7885,5.0376
16,3,2.3362,1.229573,0.4225,0.2993,0.4225,0.3501,0.5766,-0.010548,1.7587,4.9185
16,4,2.4818,1.221003,0.4137,0.362,0.4137,0.3458,0.5768,-0.02659,1.8509,5.4237
17,1,2.4328,1.209305,0.4366,0.3148,0.4366,0.3512,0.589,-0.017466,1.8442,5.2877
17,2,2.3731,1.224977,0.4208,0.3071,0.4208,0.3549,0.5552,-0.015551,1.7894,5.0522
17,3,2.3449,1.231284,0.4384,0.3098,0.4384,0.3618,0.5681,-0.029119,1.7656,4.9433
17,4,2.4883,1.21499,0.4419,0.3172,0.4419,0.3686,0.5821,-0.026264,1.8662,5.4594
18,1,2.4537,1.211156,0.4472,0.3238,0.4472,0.3671,0.5796,-0.031164,1.8549,5.3531
18,2,2.3621,1.214888,0.4296,0.3093,0.4296,0.3546,0.5722,-0.012999,1.7849,5.039
18,3,2.346,1.22994,0.419,0.2959,0.419,0.3413,0.5707,-0.033819,1.7627,4.9501
18,4,2.4986,1.215484,0.4525,0.5241,0.4525,0.3822,0.5858,-0.029252,1.8726,5.4926
19,1,2.4572,1.211767,0.4648,0.3386,0.4648,0.3883,0.5728,-0.035461,1.8631,5.3633
19,2,2.3532,1.211266,0.4278,0.3104,0.4278,0.3558,0.571,-0.022083,1.7818,5.0179
19,3,2.34,1.221589,0.4102,0.2878,0.4102,0.3328,0.5905,-0.001981,1.7646,4.9495
19,4,2.4919,1.22429,0.4349,0.3114,0.4349,0.3612,0.5714,-0.031353,1.8597,5.4497
20,1,2.4701,1.213077,0.4366,0.3185,0.4366,0.3652,0.5725,-0.024896,1.868,5.4031
20,2,2.3871,1.207048,0.4313,0.3118,0.4313,0.3601,0.5802,-0.026772,1.8007,5.1405
20,3,2.3431,1.22337,0.4243,0.3007,0.4243,0.3512,0.5769,-0.009229,1.7625,4.9556
20,4,2.489,1.220408,0.4331,0.3113,0.4331,0.3616,0.5799,-0.02282,1.8579,5.4489
21,1,2.4375,1.206247,0.4331,0.3125,0.4331,0.3551,0.5827,-0.007723,1.8425,5.3103
21,2,2.3588,1.211441,0.4173,0.2985,0.4173,0.3438,0.5764,-0.034259,1.7879,5.0358
