Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
15,2,2.4138,1.217011,0.4384,0.3204,0.4384,0.3701,0.5408,-0.0502,1.8179,5.2064
15,3,2.3486,1.220867,0.4366,0.3201,0.4366,0.3657,0.5593,-0.042061,1.7683,4.9801
15,4,2.5317,1.217345,0.4155,0.3207,0.4155,0.3443,0.566,-0.077368,1.8784,5.5984
16,1,2.5052,1.199684,0.4437,0.3393,0.4437,0.3807,0.5812,-0.042828,1.9009,5.5513
16,2,2.3801,1.199024,0.4472,0.334,0.4472,0.3796,0.5671,-0.043659,1.812,5.1359
16,3,2.3535,1.207124,0.4243,0.3135,0.4243,0.3569,0.5898,-0.040155,1.7827,5.0283
16,4,2.4981,1.192195,0.4454,0.3785,0.4454,0.3823,0.604,-0.020972,1.8732,5.5452
17,1,2.4834,1.180785,0.4577,0.5263,0.4577,0.3856,0.6056,-0.049006,1.8868,5.5227
17,2,2.371,1.185901,0.4683,0.5605,0.4683,0.4021,0.5958,-0.03517,1.8006,5.1362
17,3,2.3597,1.206885,0.4278,0.3584,0.4278,0.3706,0.5918,-0.032906,1.7819,5.0497
17,4,2.5,1.199054,0.4718,0.3746,0.4718,0.4054,0.6027,-0.027857,1.8712,5.5356
18,1,2.4458,1.191859,0.4243,0.3042,0.4243,0.3483,0.6246,-0.020706,1.8732,5.3716
18,2,2.3688,1.196907,0.4173,0.5169,0.4173,0.3583,0.5727,-0.037317,1.7971,5.1033
18,3,2.3802,1.196449,0.4401,0.3308,0.4401,0.3704,0.6088,-0.049031,1.8149,5.1423
18,4,2.5398,1.212452,0.4243,0.3078,0.4243,0.3563,0.5776,-0.05927,1.8895,5.6368
19,1,2.4264,1.172425,0.4613,0.3773,0.4613,0.3975,0.6094,-0.037275,1.8557,5.3523
19,2,2.393,1.18903,0.4437,0.345,0.4437,0.3783,0.5935,-0.06559,1.8136,5.2024
19,3,2.331,1.193281,0.4507,0.3775,0.4507,0.388,0.5941,-0.023887,1.7724,4.9857
19,4,2.4921,1.19824,0.4507,0.3315,0.4507,0.3816,0.5921,-0.039235,1.8715,5.5111
20,1,2.4415,1.176175,0.4507,0.3702,0.4507,0.3886,0.6033,-0.035914,1.8613,5.394
20,2,2.3682,1.159257,0.4525,0.343,0.4525,0.3862,0.6231,-0.02027,1.8171,5.1891
20,3,2.3363,1.179623,0.4789,0.5691,0.4789,0.4038,0.6233,-0.020377,1.7802,5.0351
20,4,2.5238,1.194645,0.412,0.3513,0.412,0.3665,0.5867,-0.048614,1.8982,5.6252
21,1,2.4613,1.170763,0.4525,0.4367,0.4525,0.3892,0.6112,-0.031625,1.8818,5.4727
21,2,2.3758,1.160823,0.4665,0.3544,0.4665,0.3997,0.6063,-0.022809,1.8225,5.2109
21,3,2.3699,1.176512,0.4648,0.3522,0.4648,0.3894,0.6234,-0.061244,1.7996,5.1546
21,4,2.4451,1.168393,0.4507,0.3416,0.4507,0.3863,0.6161,-0.030175,1.8611,5.4241
22,1,2.471,1.173604,0.4577,0.4321,0.4577,0.3896,0.6169,-0.053869,1.8761,5.4984
22,2,2.3579,1.170796,0.456,0.3634,0.456,0.3893,0.6116,-0.021956,1.8042,5.1277
22,3,2.4436,1.194021,0.4577,0.4019,0.4577,0.385,0.5935,-0.094725,1.8613,5.3593
22,4,2.4638,1.165195,0.4842,0.4078,0.4842,0.419,0.63,-0.028887,1.8637,5.4938
23,1,2.4549,1.161364,0.4842,0.3642,0.4842,0.4146,0.6397,-0.035446,1.8834,5.4731
23,2,2.3586,1.145662,0.4842,0.3792,0.4842,0.4141,0.6277,-0.025553,1.8168,5.1889
23,3,2.3254,1.175322,0.4701,0.4246,0.4701,0.4015,0.6222,-0.003024,1.7835,5.0089
23,4,2.4759,1.183222,0.4595,0.3462,0.4595,0.3915,0.6054,-0.049038,1.8669,5.492
24,1,2.4606,1.145527,0.4754,0.3577,0.4754,0.4069,0.6317,-0.061642,1.8961,5.5292
24,2,2.383,1.145756,0.5,0.4432,0.5,0.4305,0.6282,-0.056794,1.8327,5.2699
24,3,2.3203,1.164204,0.4965,0.4634,0.4965,0.4245,0.6124,-0.027509,1.7778,5.0179
24,4,2.4647,1.15234,0.4894,0.3833,0.4894,0.4186,0.6404,-0.01211,1.8776,5.5267
25,1,2.4493,1.159264,0.4595,0.338,0.4595,0.3894,0.621,-0.043366,1.8773,5.4594
25,2,2.3396,1.123355,0.5141,0.4254,0.5141,0.4417,0.6577,-0.054007,1.8126,5.1774
25,3,2.3208,1.164684,0.4683,0.5627,0.4683,0.3972,0.6322,-0.024907,1.7802,5.0183
25,4,2.484,1.168678,0.4525,0.3632,0.4525,0.389,0.6272,-0.027793,1.8846,5.553
26,1,2.4469,1.143757,0.5088,0.4913,0.5088,0.4394,0.6448,-0.03902,1.8851,5.4876
26,2,2.3908,1.13408,0.4877,0.3678,0.4877,0.4156,0.6231,-0.049278,1.8306,5.323
26,3,2.3646,1.171168,0.4718,0.4858,0.4718,0.4024,0.6099,-0.041511,1.7986,5.1492
26,4,2.4536,1.131654,0.4877,0.4381,0.4877,0.4315,0.639,-0.026693,1.8809,5.5383
27,1,2.4912,1.118685,0.507,0.3909,0.507,0.4357,0.6406,-0.078066,1.9235,5.6937
27,2,2.3176,1.117771,0.4947,0.4861,0.4947,0.4264,0.6409,-0.026784,1.8064,5.1171
27,3,2.3148,1.143546,0.4771,0.4019,0.4771,0.4056,0.6358,-0.042612,1.7782,5.0477
27,4,2.4407,1.12127,0.4806,0.4237,0.4806,0.4145,0.6565,-0.039915,1.8683,5.5193
28,1,2.4258,1.146447,0.4947,0.3884,0.4947,0.4253,0.6421,-0.033901,1.865,5.4109
28,2,2.3371,1.131435,0.4894,0.3712,0.4894,0.4166,0.6362,-0.038882,1.8076,5.1505
28,3,2.3153,1.125382,0.4806,0.4372,0.4806,0.4122,0.6429,-0.068094,1.7939,5.0916
28,4,2.4705,1.12352,0.493,0.508,0.493,0.4308,0.6693,-0.056273,1.9029,5.6135
29,1,2.4688,1.118199,0.5106,0.3914,0.5106,0.4385,0.6677,-0.078234,1.899,5.6201
29,2,2.3572,1.113822,0.5053,0.4659,0.5053,0.4394,0.6534,-0.072831,1.8271,5.2583
29,3,2.3744,1.145695,0.4754,0.3628,0.4754,0.3999,0.6389,-0.070609,1.8298,5.2415
29,4,2.4688,1.124244,0.5053,0.4475,0.5053,0.4492,0.6642,-0.058222,1.8897,5.6061
30,1,2.4115,1.111506,0.5211,0.4043,0.5211,0.4496,0.6815,-0.03275,1.8735,5.445
30,2,2.3498,1.112039,0.4912,0.3855,0.4912,0.4204,0.6416,-0.063806,1.8328,5.238
30,3,2.2939,1.113882,0.5,0.3756,0.5,0.4205,0.6568,-0.048355,1.7841,5.0473
30,4,2.4138,1.114472,0.5,0.4449,0.5,0.4424,0.6567,-0.045598,1.8658,5.4455
31,1,2.4399,1.106858,0.5106,0.4009,0.5106,0.4402,0.6758,-0.054154,1.8939,5.5503
31,2,2.2992,1.088746,0.5387,0.4274,0.5387,0.4599,0.6647,-0.032124,1.7999,5.1237
31,3,2.3625,1.155016,0.4877,0.4439,0.4877,0.4361,0.6415,-0.057085,1.803,5.1801
31,4,2.4292,1.096231,0.5035,0.6224,0.5035,0.4387,0.6928,-0.03679,1.8669,5.5393
32,1,2.4348,1.096736,0.5264,0.4897,0.5264,0.4519,0.6707,-0.057438,1.8943,5.557
32,2,2.2929,1.092233,0.5282,0.5693,0.5282,0.4617,0.6643,-0.01268,1.8019,5.0944
32,3,2.3227,1.140785,0.4859,0.4754,0.4859,0.4117,0.6347,-0.035856,1.7899,5.0804
32,4,2.4113,1.118201,0.4912,0.4419,0.4912,0.4326,0.6606,-0.0256,1.8742,5.4286
33,1,2.494,1.131018,0.507,0.3783,0.507,0.4327,0.6666,-0.080084,1.9286,5.6744
33,2,2.3255,1.089788,0.5176,0.4445,0.5176,0.448,0.6664,-0.038723,1.8216,5.2087
33,3,2.2698,1.09776,0.5282,0.4115,0.5282,0.4487,0.6675,-0.034279,1.7769,5.0045
33,4,2.4146,1.096813,0.5,0.4645,0.5,0.4421,0.6745,-0.041449,1.8617,5.4894
34,1,2.3888,1.096017,0.5229,0.4682,0.5229,0.4582,0.6703,-0.041184,1.8742,5.4051
34,2,2.272,1.060006,0.5299,0.5013,0.5299,0.4551,0.6973,-0.015968,1.7997,5.0999
34,3,2.2487,1.068524,0.5246,0.4668,0.5246,0.4563,0.6951,-0.015965,1.7763,5.0026
34,4,2.4281,1.090351,0.5317,0.5074,0.5317,0.4745,0.6861,-0.028967,1.8765,5.5495
35,1,2.3762,1.092753,0.5405,0.4234,0.5405,0.4653,0.6909,-0.025127,1.8644,5.3708
35,2,2.2838,1.072207,0.5352,0.4775,0.5352,0.4762,0.6989,-0.034805,1.8039,5.1108
35,3,2.2638,1.084814,0.5123,0.3934,0.5123,0.436,0.6923,-0.026449,1.7839,5.0148
35,4,2.4045,1.080846,0.5211,0.475,0.5211,0.4664,0.7034,-0.031713,1.8708,5.4931
36,1,2.3839,1.057874,0.5423,0.5218,0.5423,0.4732,0.6947,-0.056363,1.8822,5.478
36,2,2.3132,1.059791,0.5317,0.4944,0.5317,0.4901,0.7033,-0.05143,1.8097,5.2379
36,3,2.2901,1.112162,0.5229,0.5343,0.5229,0.4494,0.6766,-0.050186,1.7874,5.0386
36,4,2.4739,1.098393,0.5158,0.5103,0.5158,0.4777,0.6978,-0.067903,1.8888,5.6835
37,1,2.3521,1.060363,0.5282,0.4271,0.5282,0.4543,0.6964,-0.036629,1.8624,5.3663
37,2,2.2815,1.03326,0.5546,0.4885,0.5546,0.4852,0.7003,-0.063742,1.8162,5.1939
37,3,2.2665,1.074602,0.5317,0.4674,0.5317,0.4784,0.7104,-0.047591,1.7808,5.0477
37,4,2.4303,1.084358,0.5352,0.5125,0.5352,0.4872,0.7,-0.067856,1.8916,5.5709
38,1,2.3693,1.045077,0.5475,0.4989,0.5475,0.4837,0.7093,-0.055115,1.8771,5.459
38,2,2.3225,1.062495,0.5335,0.4586,0.5335,0.471,0.7017,-0.07272,1.8225,5.2625
38,3,2.2882,1.073896,0.5387,0.4462,0.5387,0.4615,0.6914,-0.070758,1.81,5.1214
38,4,2.4044,1.074413,0.5317,0.4814,0.5317,0.4816,0.7205,-0.060125,1.8768,5.5079
39,1,2.3956,1.070455,0.5246,0.451,0.5246,0.4655,0.6943,-0.051046,1.8789,5.4878
39,2,2.2638,1.039544,0.5299,0.4645,0.5299,0.4839,0.7164,-0.034575,1.8051,5.1204
