Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
15,3,2.3704,1.247986,0.3856,0.2683,0.3856,0.2871,0.5438,-0.012273,1.7778,4.9894
15,4,2.4827,1.243179,0.3961,0.273,0.3961,0.3092,0.5293,-0.017232,1.8517,5.375
16,1,2.4583,1.22066,0.3926,0.2831,0.3926,0.3267,0.5681,-0.020682,1.8581,5.346
16,2,2.3962,1.225083,0.3961,0.2764,0.3961,0.3038,0.5356,-0.035442,1.8033,5.1289
16,3,2.3762,1.238444,0.3908,0.2678,0.3908,0.3031,0.5379,-0.043492,1.7812,5.0309
16,4,2.5084,1.240094,0.3803,0.2572,0.3803,0.2968,0.5229,-0.025856,1.8623,5.4677
17,1,2.4665,1.215622,0.4085,0.2855,0.4085,0.309,0.5507,-0.045946,1.8633,5.3853
17,2,2.3875,1.227232,0.3908,0.2808,0.3908,0.3231,0.5328,-0.027402,1.7967,5.0947
17,3,2.3581,1.238354,0.3856,0.2671,0.3856,0.2794,0.5491,-0.005724,1.7583,4.9709
17,4,2.5006,1.230164,0.4225,0.2922,0.4225,0.3344,0.542,-0.016963,1.8571,5.4651
18,1,2.4647,1.223391,0.412,0.2825,0.412,0.295,0.5391,-0.01485,1.8547,5.361
18,2,2.3983,1.233133,0.3979,0.2777,0.3979,0.2903,0.5187,-0.040449,1.8001,5.117
18,3,2.3902,1.237453,0.3873,0.2731,0.3873,0.3186,0.5534,-0.051214,1.7937,5.0801
18,4,2.4779,1.228737,0.4155,0.2838,0.4155,0.3217,0.5459,-0.000337,1.8496,5.3927
19,1,2.4562,1.226247,0.4049,0.2844,0.4049,0.2935,0.542,-0.017201,1.8556,5.3262
19,2,2.3875,1.22482,0.4049,0.2845,0.4049,0.2946,0.5381,-0.020001,1.7959,5.1004
19,3,2.3603,1.241225,0.3908,0.2759,0.3908,0.3072,0.5405,-0.04413,1.7634,4.9714
19,4,2.4847,1.230899,0.4102,0.2941,0.4102,0.3422,0.5426,-0.007601,1.8562,5.4102
20,1,2.4803,1.226008,0.4155,0.3025,0.4155,0.3238,0.5474,-0.03599,1.8663,5.4071
20,2,2.3606,1.218836,0.3996,0.2847,0.3996,0.3234,0.5545,-0.017121,1.7862,5.0248
20,3,2.3673,1.240294,0.3873,0.2676,0.3873,0.2979,0.5462,-0.021297,1.7736,4.9971
20,4,2.4883,1.227839,0.4155,0.3091,0.4155,0.3532,0.5708,-0.022468,1.8538,5.4295
21,1,2.4613,1.213906,0.4014,0.2746,0.4014,0.295,0.5723,-0.034959,1.865,5.3719
21,2,2.371,1.220737,0.412,0.2947,0.412,0.328,0.5625,-0.014514,1.7938,5.0551
21,3,2.3418,1.23481,0.4296,0.307,0.4296,0.348,0.5511,-0.012591,1.7589,4.9249
21,4,2.5106,1.22757,0.4313,0.3095,0.4313,0.3583,0.5513,-0.032382,1.8635,5.5045
22,1,2.4451,1.213971,0.4102,0.295,0.4102,0.3375,0.5515,-0.024261,1.8501,5.3176
22,2,2.3664,1.212623,0.4243,0.3068,0.4243,0.3538,0.5601,-0.03201,1.7871,5.0585
22,3,2.3367,1.219038,0.3944,0.2751,0.3944,0.3202,0.5664,-0.026172,1.7621,4.9445
22,4,2.4716,1.223758,0.4049,0.2963,0.4049,0.342,0.5482,-0.045145,1.8464,5.3834
23,1,2.4555,1.217897,0.4419,0.324,0.4419,0.3683,0.5529,-0.022014,1.8548,5.3434
23,2,2.3883,1.211561,0.4313,0.3085,0.4313,0.3533,0.5697,-0.027399,1.8041,5.1339
23,3,2.3505,1.240173,0.4014,0.2818,0.4014,0.326,0.5285,-0.01476,1.7616,4.9412
23,4,2.4686,1.216347,0.4472,0.3182,0.4472,0.3683,0.5752,-0.041075,1.8471,5.3907
24,1,2.464,1.220018,0.4208,0.3065,0.4208,0.3482,0.5543,-0.032241,1.8564,5.3667
24,2,2.3786,1.209954,0.4243,0.3086,0.4243,0.356,0.5604,-0.019341,1.8016,5.1053
24,3,2.3498,1.226197,0.4155,0.2932,0.4155,0.3381,0.5763,-0.018052,1.7748,4.9716
24,4,2.4879,1.225614,0.3926,0.2766,0.3926,0.3209,0.5685,-0.015514,1.859,5.4334
25,1,2.4361,1.206674,0.4243,0.3083,0.4243,0.3461,0.5646,-0.011319,1.8513,5.3049
25,2,2.3696,1.205349,0.4419,0.3217,0.4419,0.3714,0.5758,-0.016966,1.7997,5.086
25,3,2.3369,1.220134,0.4261,0.3027,0.4261,0.3535,0.5723,-0.015883,1.7618,4.9428
25,4,2.4836,1.216413,0.4454,0.3239,0.4454,0.375,0.5663,-0.013388,1.8498,5.4404
26,1,2.4395,1.19568,0.4595,0.3356,0.4595,0.3825,0.613,-0.01658,1.8533,5.3416
