Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
15,3,2.3337,1.22593,0.412,0.2913,0.412,0.3402,0.5688,-0.000384,1.7544,4.9185
15,4,2.48,1.21543,0.4384,0.313,0.4384,0.3627,0.5936,-0.006393,1.8536,5.4305
16,1,2.4313,1.218108,0.419,0.2971,0.419,0.2933,0.5585,-0.011946,1.8394,5.2622
16,2,2.349,1.208776,0.4366,0.3196,0.4366,0.369,0.5757,-0.007486,1.7812,5.0094
16,3,2.3438,1.233085,0.4049,0.286,0.4049,0.3335,0.5658,0.011375,1.7621,4.9356
16,4,2.4508,1.206466,0.4349,0.3145,0.4349,0.3647,0.5851,-0.016543,1.8438,5.3543
17,1,2.4133,1.189939,0.4665,0.3396,0.4665,0.3907,0.6171,0.000879,1.8399,5.2678
17,2,2.3424,1.198619,0.4542,0.328,0.4542,0.3757,0.5959,-0.013878,1.7804,5.0111
17,3,2.3306,1.219197,0.4208,0.3021,0.4208,0.3514,0.5622,-0.01356,1.7582,4.9239
17,4,2.4622,1.203224,0.456,0.3342,0.456,0.3854,0.6018,-0.010607,1.8486,5.3997
18,1,2.4499,1.216552,0.456,0.334,0.456,0.385,0.5658,-0.027165,1.8523,5.3279
18,2,2.3581,1.205847,0.4349,0.3178,0.4349,0.3671,0.5659,-0.00998,1.7844,5.0466
18,3,2.3201,1.212654,0.4208,0.2983,0.4208,0.3475,0.5892,-0.01533,1.7542,4.904
18,4,2.4378,1.198994,0.4718,0.3464,0.4718,0.3992,0.6028,0.001841,1.8315,5.3283
19,1,2.4269,1.19958,0.4718,0.345,0.4718,0.3963,0.5821,-0.007101,1.845,5.2906
19,2,2.3457,1.203315,0.4595,0.3374,0.4595,0.389,0.5621,-0.018787,1.7841,5.0113
19,3,2.3095,1.204405,0.4525,0.3267,0.4525,0.3783,0.5815,-0.013603,1.7534,4.8881
19,4,2.4444,1.188749,0.456,0.3363,0.456,0.3865,0.615,-0.002879,1.8463,5.3742
20,1,2.4321,1.195743,0.4701,0.3485,0.4701,0.4001,0.5943,-0.012601,1.8512,5.3169
20,2,2.3474,1.207168,0.4542,0.3322,0.4542,0.3837,0.5695,-0.003075,1.7744,5.0078
20,3,2.3177,1.21602,0.4331,0.3088,0.4331,0.3606,0.5693,-0.000498,1.7501,4.8882
20,4,2.4483,1.201416,0.456,0.3447,0.456,0.3894,0.599,-0.009619,1.8416,5.3578
21,1,2.408,1.170522,0.4824,0.3528,0.4824,0.4059,0.6029,-0.01501,1.8459,5.2953
21,2,2.3337,1.188781,0.4437,0.3308,0.4437,0.3775,0.5815,-0.011977,1.7786,5.0052
21,3,2.3073,1.190135,0.4437,0.3203,0.4437,0.371,0.5924,-0.025587,1.7542,4.9141
21,4,2.4298,1.180334,0.4754,0.36,0.4754,0.4055,0.6149,-0.000999,1.8383,5.3453
22,1,2.4136,1.177944,0.4718,0.3445,0.4718,0.3973,0.6163,-0.018736,1.8455,5.2967
22,2,2.3188,1.178081,0.4648,0.3505,0.4648,0.3963,0.6066,-0.005986,1.774,4.9804
22,3,2.3092,1.198558,0.4542,0.3276,0.4542,0.3794,0.6,-0.00377,1.7499,4.9006
22,4,2.4335,1.192594,0.4419,0.3355,0.4419,0.3773,0.6061,-0.017224,1.8367,5.329
23,1,2.404,1.176567,0.4701,0.3475,0.4701,0.3996,0.6128,-0.005675,1.842,5.2682
23,2,2.343,1.186656,0.4525,0.3337,0.4525,0.3838,0.5877,-0.025119,1.7864,5.0412
23,3,2.3126,1.20071,0.4454,0.3261,0.4454,0.3735,0.5902,-0.006104,1.7553,4.9071
23,4,2.4374,1.184103,0.4701,0.3517,0.4701,0.4006,0.6181,-0.006911,1.843,5.3618
24,1,2.4085,1.169471,0.4701,0.3449,0.4701,0.3977,0.6219,0.002874,1.8478,5.2995
24,2,2.3284,1.177886,0.463,0.3408,0.463,0.3924,0.5889,-0.004924,1.7833,5.0131
24,3,2.3081,1.194165,0.456,0.3292,0.456,0.381,0.5897,-0.002296,1.7527,4.9074
24,4,2.429,1.170067,0.4683,0.3558,0.4683,0.3998,0.64,-0.017335,1.8417,5.3665
25,1,2.4162,1.179351,0.4525,0.3361,0.4525,0.3855,0.6085,-0.006503,1.8463,5.302
25,2,2.3207,1.16549,0.4683,0.346,0.4683,0.3975,0.6172,-0.016829,1.7797,5.0161
25,3,2.2923,1.179198,0.4437,0.3256,0.4437,0.3726,0.6083,-0.010934,1.7546,4.8894
25,4,2.4209,1.161599,0.4771,0.3666,0.4771,0.4088,0.6317,-0.017638,1.8405,5.3593
26,1,2.4065,1.170682,0.4771,0.3486,0.4771,0.4008,0.6133,-0.001998,1.8498,5.2899
26,2,2.3253,1.165856,0.4665,0.3553,0.4665,0.3979,0.6063,-0.014773,1.7818,5.0306
26,3,2.2946,1.179777,0.4525,0.3328,0.4525,0.3797,0.6189,-0.019352,1.7508,4.8957
26,4,2.4218,1.163082,0.4665,0.3443,0.4665,0.3955,0.6393,-0.011138,1.8443,5.359
27,1,2.4163,1.174469,0.4806,0.3573,0.4806,0.4094,0.6206,-0.02016,1.8525,5.3139
27,2,2.3362,1.190883,0.4313,0.3183,0.4313,0.3659,0.5792,-0.01425,1.7781,5.0085
27,3,2.3081,1.186002,0.4472,0.328,0.4472,0.3745,0.6074,-0.008504,1.7565,4.9264
27,4,2.4275,1.17964,0.4701,0.3579,0.4701,0.4017,0.6312,-0.019502,1.8355,5.3391
28,1,2.3922,1.150988,0.4718,0.3497,0.4718,0.4016,0.6467,0.000415,1.8515,5.2885
28,2,2.3155,1.161799,0.4771,0.3525,0.4771,0.405,0.6075,-0.011497,1.7809,5.0075
28,3,2.2936,1.171766,0.4595,0.3289,0.4595,0.3832,0.6246,-0.026845,1.7569,4.9112
28,4,2.4185,1.162523,0.4648,0.3517,0.4648,0.3961,0.6184,-0.004878,1.8402,5.349
29,1,2.3943,1.15498,0.4859,0.3623,0.4859,0.4145,0.6109,-0.000737,1.842,5.286
