Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
15,3,2.6152,1.254636,0.3574,0.2559,0.3574,0.298,0.5005,-0.178692,1.9173,5.7898
15,4,2.6452,1.246735,0.4014,0.235,0.4014,0.2601,0.4938,-0.102982,1.9305,5.9083
16,1,2.4839,1.231783,0.4102,0.2936,0.4102,0.3234,0.5076,-0.014873,1.8626,5.4054
16,2,2.4831,1.234119,0.4102,0.2957,0.4102,0.3103,0.5021,-0.069017,1.8709,5.3973
16,3,2.598,1.264572,0.3768,0.2884,0.3768,0.2348,0.4766,-0.166008,1.9077,5.7092
16,4,2.6574,1.251363,0.4173,0.275,0.4173,0.2796,0.487,-0.098462,1.949,5.9382
17,1,2.8234,1.241138,0.3979,0.2571,0.3979,0.2786,0.5026,-0.219976,2.0726,6.5153
17,2,2.7793,1.23447,0.4032,0.2665,0.4032,0.2475,0.5053,-0.27734,2.0191,6.3841
17,3,2.5774,1.250468,0.382,0.2539,0.382,0.26,0.5041,-0.157066,1.8961,5.6736
17,4,2.5961,1.24082,0.4155,0.2853,0.4155,0.2731,0.5255,-0.050102,1.9101,5.7583
18,1,2.65,1.241288,0.4102,0.3865,0.4102,0.2437,0.4927,-0.111592,1.9589,5.9369
18,2,2.4332,1.228357,0.4225,0.3492,0.4225,0.284,0.5342,-0.037824,1.8466,5.2444
18,3,2.3645,1.244666,0.382,0.2682,0.382,0.2474,0.5327,0.000358,1.7827,4.9774
18,4,2.5938,1.248109,0.412,0.2604,0.412,0.2672,0.4968,-0.068232,1.8914,5.7338
19,1,2.487,1.234117,0.4313,0.3165,0.4313,0.3647,0.5139,-0.007291,1.878,5.4104
19,2,2.4406,1.230997,0.4085,0.3692,0.4085,0.2489,0.5155,-0.039933,1.8252,5.263
19,3,2.4162,1.245964,0.3891,0.2743,0.3891,0.3009,0.5408,-0.047331,1.801,5.1467
19,4,2.6248,1.248097,0.4085,0.2748,0.4085,0.2902,0.5094,-0.081918,1.9147,5.837
20,1,2.5832,1.240647,0.3891,0.2759,0.3891,0.3127,0.4751,-0.075069,1.9006,5.7159
20,2,2.4826,1.235201,0.3768,0.2689,0.3768,0.3105,0.4907,-0.079459,1.8375,5.3931
20,3,2.4096,1.254945,0.375,0.2595,0.375,0.2827,0.5132,-0.033655,1.804,5.1039
20,4,2.6156,1.244645,0.4085,0.2865,0.4085,0.3258,0.5119,-0.082563,1.9221,5.8146
21,1,2.5503,1.230574,0.4278,0.3222,0.4278,0.312,0.5268,-0.055627,1.9123,5.6298
21,2,2.4345,1.230983,0.4102,0.2945,0.4102,0.2777,0.5281,-0.045171,1.827,5.2426
21,3,2.4225,1.256365,0.3609,0.2643,0.3609,0.2999,0.5186,-0.038642,1.8042,5.1435
21,4,2.6797,1.235583,0.4296,0.342,0.4296,0.2778,0.5393,-0.110682,1.9626,6.0492
22,1,2.6706,1.230543,0.419,0.3016,0.419,0.3127,0.5401,-0.130308,1.9861,6.0309
22,2,2.5338,1.226919,0.4401,0.3266,0.4401,0.3446,0.5412,-0.103224,1.8912,5.5833
22,3,2.3508,1.257539,0.3856,0.2684,0.3856,0.3003,0.5261,0.009249,1.7433,4.9016
22,4,2.5631,1.240734,0.4313,0.3079,0.4313,0.329,0.5378,-0.045195,1.8996,5.6485
23,1,2.489,1.222175,0.4401,0.3339,0.4401,0.3355,0.5589,-0.025842,1.8873,5.4448
23,2,2.3767,1.22145,0.4401,0.3236,0.4401,0.3445,0.5422,-0.003889,1.7923,5.0724
23,3,2.422,1.242916,0.4225,0.2979,0.4225,0.34,0.5371,-0.040281,1.8053,5.1731
23,4,2.5131,1.219279,0.4665,0.3396,0.4665,0.375,0.5761,-0.031012,1.8803,5.5321
24,1,2.4642,1.211364,0.4507,0.3255,0.4507,0.3634,0.5684,-0.021912,1.8589,5.3875
24,2,2.4572,1.208507,0.4577,0.3458,0.4577,0.3653,0.5824,-0.062404,1.832,5.3708
24,3,2.4103,1.229295,0.4349,0.3399,0.4349,0.3582,0.5785,-0.040303,1.8143,5.166
24,4,2.7451,1.237593,0.4489,0.3266,0.4489,0.3535,0.5277,-0.173536,1.9832,6.2626
25,1,2.6129,1.237638,0.412,0.2958,0.412,0.3361,0.5176,-0.09639,1.9562,5.822
25,2,2.4663,1.230511,0.4155,0.3002,0.4155,0.3083,0.5274,-0.069805,1.8717,5.3499
25,3,2.4226,1.242452,0.4278,0.3008,0.4278,0.3377,0.5277,-0.05645,1.8251,5.1763
25,4,2.5823,1.227364,0.4754,0.3424,0.4754,0.386,0.5557,-0.069586,1.8893,5.7439
26,1,2.5261,1.220485,0.4278,0.3236,0.4278,0.3087,0.5719,-0.04134,1.8711,5.5725
26,2,2.4836,1.212983,0.463,0.3391,0.463,0.3766,0.5705,-0.069288,1.8623,5.4485
26,3,2.494,1.222832,0.4261,0.2988,0.4261,0.3372,0.5798,-0.105086,1.8587,5.4601
26,4,2.7554,1.223409,0.4489,0.3197,0.4489,0.3574,0.5583,-0.171903,2.0219,6.3302
27,1,2.8725,1.213509,0.456,0.3372,0.456,0.3648,0.5848,-0.262455,2.1161,6.7435
27,2,2.6364,1.221727,0.4472,0.3284,0.4472,0.3634,0.5312,-0.182103,1.9513,5.9373
27,3,2.3514,1.226266,0.4331,0.3036,0.4331,0.3534,0.5961,-0.007391,1.7804,4.9767
27,4,2.533,1.21638,0.4489,0.3766,0.4489,0.3572,0.5944,-0.034159,1.8928,5.6053
28,1,2.7633,1.230746,0.4736,0.3485,0.4736,0.3899,0.5424,-0.199351,2.0512,6.3392
28,2,2.6842,1.187986,0.4912,0.4267,0.4912,0.4128,0.5865,-0.232604,2.0228,6.1755
28,3,2.6501,1.240724,0.4014,0.2827,0.4014,0.3127,0.5715,-0.208129,1.9396,5.9388
28,4,2.6246,1.218472,0.4824,0.346,0.4824,0.3897,0.5753,-0.0858,1.9283,5.9057
29,1,2.7749,1.192863,0.4842,0.361,0.4842,0.3947,0.5867,-0.2104,2.0187,6.4665
29,2,2.4169,1.195844,0.4754,0.3904,0.4754,0.3895,0.5936,-0.034447,1.835,5.2659
29,3,2.3632,1.19922,0.4577,0.3244,0.4577,0.3743,0.6137,-0.028972,1.7894,5.079
29,4,2.5165,1.195377,0.4665,0.3347,0.4665,0.3802,0.5968,-0.031663,1.8823,5.5992
30,1,2.4879,1.194315,0.4736,0.3502,0.4736,0.386,0.6009,-0.047533,1.8874,5.5064
30,2,2.4007,1.210803,0.4542,0.3313,0.4542,0.3715,0.5649,-0.035954,1.8312,5.1772
30,3,2.8899,1.232891,0.4208,0.4416,0.4208,0.3473,0.5598,-0.376159,2.0854,6.7561
30,4,2.9779,1.222215,0.463,0.3568,0.463,0.3577,0.5498,-0.301832,2.162,7.0746
31,1,2.5655,1.197235,0.4754,0.3517,0.4754,0.3816,0.5883,-0.090337,1.8989,5.7582
31,2,2.3758,1.181426,0.4947,0.4203,0.4947,0.4092,0.6064,-0.034102,1.8148,5.1628
31,3,2.4247,1.201956,0.4437,0.4592,0.4437,0.3659,0.6024,-0.070261,1.8336,5.2777
