Epoch,Fold,Loss,CrossEntropy,Accuracy,Precision,Recall,F1Score,AUC,R2Score,MAE,MSE
15,2,2.4045,1.236225,0.3979,0.2731,0.3979,0.2935,0.5056,-0.053786,1.8032,5.1305
15,3,2.3841,1.256491,0.3662,0.2572,0.3662,0.3005,0.4901,-0.030204,1.78,5.0151
15,4,2.5175,1.240082,0.4173,0.2922,0.4173,0.3199,0.5416,-0.019847,1.8754,5.498
16,1,2.497,1.234711,0.4067,0.2386,0.4067,0.2468,0.5244,-0.024536,1.8738,5.4425
16,2,2.4015,1.234937,0.3961,0.2707,0.3961,0.2758,0.5201,-0.036533,1.8042,5.1234
16,3,2.3769,1.252058,0.3715,0.2624,0.3715,0.307,0.5219,-0.029529,1.7778,5.0014
16,4,2.5161,1.236775,0.4085,0.2715,0.4085,0.2827,0.5447,-0.018701,1.8708,5.5011
17,1,2.4738,1.233749,0.4049,0.2749,0.4049,0.271,0.5358,-0.04621,1.8591,5.3671
17,2,2.4012,1.227268,0.4049,0.2853,0.4049,0.326,0.5545,-0.037206,1.8024,5.1405
17,3,2.3785,1.245361,0.3891,0.2713,0.3891,0.3135,0.5392,-0.075168,1.7806,5.0225
17,4,2.5119,1.244097,0.4137,0.2885,0.4137,0.3288,0.5115,-0.038511,1.8596,5.4702
18,1,2.484,1.229301,0.4085,0.2914,0.4085,0.3032,0.5387,-0.033959,1.8704,5.4116
18,2,2.3984,1.224411,0.4331,0.3141,0.4331,0.3475,0.5529,-0.040898,1.8044,5.1376
18,3,2.3921,1.24508,0.4049,0.286,0.4049,0.3285,0.5501,-0.04623,1.7936,5.0684
18,4,2.4997,1.232341,0.4278,0.2975,0.4278,0.3419,0.5621,-0.003984,1.8609,5.457
19,1,2.4709,1.222746,0.4349,0.317,0.4349,0.3515,0.5675,-0.017344,1.8667,5.3834
19,2,2.3954,1.220478,0.4137,0.2984,0.4137,0.345,0.5822,-0.024225,1.8034,5.1367
19,3,2.3611,1.234216,0.3996,0.283,0.3996,0.3309,0.5676,-0.014744,1.772,4.9905
19,4,2.5043,1.227488,0.4419,0.5094,0.4419,0.3487,0.5553,-0.046218,1.8657,5.4837
20,1,2.491,1.228492,0.4278,0.3136,0.4278,0.3382,0.5489,-0.048507,1.8711,5.4368
20,2,2.4094,1.234533,0.3697,0.2732,0.3697,0.3138,0.5346,-0.04189,1.8148,5.1508
20,3,2.4002,1.252717,0.3768,0.247,0.3768,0.259,0.5325,-0.061372,1.7913,5.0775
20,4,2.5354,1.241919,0.4331,0.3096,0.4331,0.3599,0.5427,-0.053281,1.879,5.5537
21,1,2.4732,1.21788,0.4155,0.2904,0.4155,0.2875,0.5765,-0.018853,1.8671,5.4021
21,2,2.3864,1.221042,0.4296,0.3135,0.4296,0.3624,0.5626,-0.046511,1.8016,5.1055
21,3,2.3599,1.226367,0.4208,0.2942,0.4208,0.3411,0.5961,-0.039685,1.7762,5.005
21,4,2.5071,1.224814,0.4525,0.3207,0.4525,0.3672,0.5768,-0.047771,1.8675,5.4989
